SampleID	skin_1	skin_2	skin_3	skin_4	skin_5	skin_6	skin_7	skin_8	skin_9	skin_10	skin_11	skin_12	skin_13	skin_14	skin_15	skin_16	skin_17	skin_18	skin_19	skin_20	skin_21	skin_22	skin_23	skin_24	skin_25	skin_26	skin_27	skin_28	skin_29	skin_30	skin_31	skin_32	skin_33	skin_34	skin_35	skin_36	skin_37	skin_38	skin_39	skin_40	skin_41	skin_42	skin_43	skin_44	skin_45	skin_46	skin_47	skin_48	skin_49	skin_50	skin_51	skin_52	skin_53	skin_54	skin_55	skin_56	skin_57	skin_58	skin_59	skin_60	skin_61	skin_62	skin_63	skin_64	skin_65	skin_66	skin_67	skin_68	skin_69	skin_70	skin_71	skin_72	skin_73	skin_74	skin_75	skin_76	skin_77	skin_78	skin_79	skin_80	skin_81	skin_82	skin_83	skin_84	skin_85	skin_86	skin_87	skin_88	skin_89	skin_90	skin_91	skin_92	skin_93	skin_94	skin_95	skin_96	skin_97	skin_98	skin_99	skin_100
skin_11	0.842749	0.800221	0.85805	0.861388	0.857136	0.888812	0.832461	0.893789	0.864507	0.864287	0	0.851161	0.861102	0.786639	0.826457	0.845056	0.830278	0.84596	0.852248	0.813651	0.825209	0.859707	0.814574	0.805856	0.888363	0.859794	0.814105	0.867504	0.817928	0.859349	0.880419	0.802408	0.842905	0.865418	0.860942	0.847405	0.865262	0.884311	0.83112	0.845877	0.836528	0.793901	0.888705	0.815181	0.893607	0.902528	0.859314	0.843324	0.844905	0.83751	0.872118	0.866868	0.750989	0.865918	0.788637	0.910498	0.878186	0.843284	0.841248	0.832033	0.86185	0.832405	0.91055	0.862261	0.826867	0.83919	0.789562	0.867655	0.909458	0.841806	0.858588	0.870909	0.800676	0.850964	0.855788	0.832057	0.946457	0.829688	0.773222	0.839752	0.817683	0.886163	0.858077	0.868178	0.815605	0.842294	0.886087	0.862724	0.850699	0.908064	0.802543	0.824597	0.875687	0.825326	0.840079	0.811253	0.820835	0.841512	0.902677	0.887061
skin_12	0.795271	0.850632	0.886307	0.899687	0.892217	0.852073	0.840774	0.93909	0.897958	0.834102	0.851161	0	0.875855	0.834141	0.903782	0.827082	0.875122	0.874488	0.877779	0.84409	0.865146	0.900863	0.869231	0.859874	0.897866	0.844225	0.913506	0.840384	0.863798	0.853937	0.897225	0.848886	0.853795	0.941634	0.904148	0.839209	0.8296	0.839489	0.856041	0.840427	0.873665	0.813395	0.89214	0.813153	0.776208	0.847914	0.910685	0.915731	0.832907	0.873876	0.889932	0.897974	0.829951	0.893896	0.862324	0.883813	0.860959	0.873719	0.810485	0.809713	0.88832	0.877215	0.939923	0.803607	0.849839	0.895191	0.926901	0.854643	0.909619	0.857435	0.905538	0.888321	0.823822	0.861166	0.872187	0.897148	0.849921	0.935516	0.864577	0.863575	0.893731	0.925768	0.890884	0.946932	0.893235	0.816932	0.840224	0.832384	0.874918	0.83478	0.872383	0.857233	0.900719	0.831604	0.842545	0.888238	0.884413	0.914782	0.880731	0.869067
skin_13	0.873633	0.811991	0.87238	0.88685	0.907672	0.8905	0.87922	0.846376	0.926686	0.898915	0.861102	0.875855	0	0.863488	0.913179	0.898643	0.895069	0.789795	0.906245	0.890223	0.86596	0.787809	0.835916	0.805447	0.911081	0.858622	0.848775	0.860177	0.849182	0.920382	0.898008	0.892563	0.882443	0.869995	0.910907	0.836614	0.877015	0.860995	0.860798	0.841369	0.865291	0.854226	0.904161	0.861157	0.869519	0.875686	0.90496	0.84143	0.833344	0.903686	0.817799	0.888115	0.815446	0.878382	0.861368	0.821961	0.894222	0.851387	0.822121	0.837044	0.820708	0.764399	0.892212	0.900719	0.837994	0.792206	0.85651	0.865627	0.887687	0.867221	0.935917	0.878465	0.864865	0.806497	0.893923	0.817206	0.858133	0.937944	0.88512	0.895172	0.777485	0.893619	0.848159	0.841389	0.838054	0.913689	0.854984	0.916612	0.848109	0.867985	0.830449	0.898371	0.874136	0.78235	0.858499	0.834168	0.851048	0.874291	0.817373	0.866815
skin_14	0.892448	0.830788	0.880669	0.861973	0.884258	0.881919	0.861822	0.893115	0.899555	0.810182	0.786639	0.834141	0.863488	0	0.829632	0.819531	0.899619	0.834046	0.763447	0.873221	0.87309	0.844681	0.805041	0.897982	0.88078	0.850181	0.852025	0.817259	0.893092	0.870877	0.841483	0.894383	0.858877	0.894717	0.906121	0.83844	0.914544	0.861937	0.870524	0.749265	0.891134	0.891301	0.895136	0.878111	0.872992	0.853491	0.906785	0.791209	0.938354	0.923375	0.854692	0.881038	0.891784	0.888118	0.899752	0.889253	0.920869	0.854239	0.873328	0.809431	0.886348	0.798877	0.820171	0.813999	0.9073	0.826146	0.881061	0.904216	0.856355	0.788304	0.900958	0.90398	0.815823	0.870045	0.946976	0.903663	0.904976	0.885031	0.896415	0.878813	0.854205	0.899599	0.927053	0.924023	0.903516	0.836207	0.781529	0.837443	0.85199	0.953936	0.817571	0.867514	0.884132	0.785402	0.860943	0.854186	0.854584	0.878581	0.875955	0.889515
skin_15	0.831153	0.789094	0.842607	0.863309	0.866473	0.895686	0.785009	0.860005	0.909229	0.837544	0.826457	0.903782	0.913179	0.829632	0	0.808688	0.900459	0.87153	0.801701	0.843038	0.830749	0.847841	0.812754	0.854545	0.825953	0.877001	0.858947	0.834492	0.847314	0.861043	0.889283	0.853157	0.841165	0.878219	0.848694	0.816241	0.879741	0.790835	0.883151	0.848071	0.859386	0.887598	0.835609	0.807612	0.853934	0.788757	0.792679	0.863826	0.880125	0.850867	0.83399	0.842281	0.833115	0.904343	0.867524	0.858835	0.85961	0.859505	0.871885	0.795207	0.847792	0.857233	0.938799	0.841697	0.831397	0.812818	0.839632	0.856209	0.856588	0.866118	0.878377	0.892379	0.813803	0.864031	0.856679	0.812615	0.849895	0.887796	0.912892	0.875521	0.86987	0.874927	0.82499	0.884345	0.867234	0.814521	0.842138	0.863254	0.819509	0.922925	0.801109	0.849098	0.83852	0.804111	0.820952	0.847197	0.855645	0.855533	0.858013	0.781861
skin_16	0.810742	0.822193	0.876459	0.879443	0.90696	0.814136	0.811951	0.877538	0.842612	0.844998	0.845056	0.827082	0.898643	0.819531	0.808688	0	0.891129	0.84269	0.822971	0.822879	0.834328	0.822388	0.806573	0.838899	0.914023	0.849389	0.874869	0.890913	0.90724	0.904875	0.906	0.884995	0.868079	0.885875	0.914572	0.890571	0.896695	0.856853	0.878285	0.870425	0.842451	0.860338	0.862465	0.829494	0.818191	0.854392	0.877231	0.885058	0.892216	0.870656	0.825197	0.876656	0.808969	0.878889	0.830731	0.836498	0.906813	0.793913	0.844409	0.809398	0.915455	0.862123	0.950319	0.801007	0.863753	0.864466	0.894439	0.811993	0.860589	0.808549	0.91271	0.773166	0.815807	0.910002	0.870053	0.862323	0.885288	0.881634	0.887402	0.883671	0.811454	0.874226	0.887372	0.885339	0.874292	0.876241	0.737587	0.882216	0.851704	0.881127	0.866577	0.827124	0.879277	0.826089	0.865197	0.832194	0.813243	0.89168	0.922453	0.874439
skin_17	0.905594	0.911122	0.854946	0.912095	0.83026	0.864831	0.876702	0.899418	0.840591	0.83178	0.830278	0.875122	0.895069	0.899619	0.900459	0.891129	0	0.830131	0.843368	0.854288	0.812122	0.870242	0.867791	0.801178	0.85898	0.851219	0.893178	0.882695	0.885485	0.826225	0.895631	0.835875	0.9124	0.823802	0.952983	0.879262	0.887611	0.914431	0.876532	0.821888	0.911194	0.887856	0.9361	0.851414	0.844661	0.841992	0.918106	0.888019	0.864846	0.879987	0.850664	0.920559	0.833982	0.895934	0.845107	0.918153	0.882259	0.83478	0.865488	0.903994	0.867357	0.869161	0.873887	0.877687	0.88213	0.884304	0.913091	0.894328	0.918357	0.83795	0.888356	0.823869	0.811479	0.840219	0.829185	0.878542	0.921091	0.825852	0.89693	0.794018	0.856837	0.841253	0.881655	0.923262	0.919793	0.866927	0.913187	0.863026	0.88035	0.909404	0.922014	0.859472	0.879651	0.905426	0.874323	0.900995	0.853016	0.7358	0.887523	0.854629
skin_18	0.890424	0.903531	0.83281	0.938101	0.862261	0.900949	0.838517	0.870773	0.804072	0.89232	0.84596	0.874488	0.789795	0.834046	0.87153	0.84269	0.830131	0	0.87455	0.889552	0.919306	0.848482	0.88938	0.898788	0.946565	0.882048	0.89709	0.834403	0.8949	0.895066	0.893953	0.889429	0.924651	0.833351	0.940029	0.92771	0.860361	0.9096	0.86576	0.905979	0.920507	0.90794	0.881817	0.895782	0.859992	0.865929	0.915187	0.871058	0.862015	0.875693	0.871317	0.834935	0.886211	0.940509	0.930618	0.89354	0.847627	0.851424	0.850592	0.940207	0.897003	0.893142	0.861533	0.882375	0.843882	0.87935	0.903659	0.887044	0.909523	0.846749	0.894129	0.850436	0.896349	0.882183	0.940542	0.874535	0.879425	0.921307	0.894846	0.894256	0.870923	0.89558	0.937155	0.909871	0.906108	0.908661	0.836711	0.881307	0.867513	0.946864	0.869194	0.899706	0.915529	0.887755	0.856758	0.796685	0.90976	0.800314	0.923797	0.811403
skin_19	0.824581	0.786322	0.879721	0.87495	0.935834	0.769503	0.868953	0.841823	0.912206	0.839096	0.852248	0.877779	0.906245	0.763447	0.801701	0.822971	0.843368	0.87455	0	0.875335	0.83906	0.870957	0.856114	0.804929	0.864208	0.875813	0.848033	0.862979	0.836884	0.843636	0.863862	0.831066	0.836584	0.87773	0.897887	0.846943	0.887067	0.88135	0.8133	0.758985	0.852659	0.864155	0.86273	0.769947	0.862138	0.850132	0.849262	0.788259	0.826491	0.916015	0.859058	0.845287	0.849628	0.88176	0.901947	0.884856	0.856165	0.838083	0.848312	0.808195	0.896342	0.826862	0.82363	0.857556	0.882928	0.863208	0.908857	0.862519	0.868824	0.83877	0.907035	0.856619	0.833374	0.848294	0.864926	0.846978	0.885617	0.892093	0.851137	0.822037	0.876251	0.912242	0.927956	0.881432	0.870417	0.842821	0.890284	0.889886	0.852394	0.923848	0.886869	0.912271	0.835685	0.76509	0.849972	0.887708	0.800666	0.898353	0.854812	0.890958
skin_20	0.878495	0.815685	0.859521	0.883048	0.909867	0.85933	0.731461	0.90991	0.789981	0.812227	0.813651	0.84409	0.890223	0.873221	0.843038	0.822879	0.854288	0.889552	0.875335	0	0.822657	0.864293	0.831862	0.886916	0.864837	0.881889	0.866321	0.870137	0.861011	0.871271	0.815543	0.888347	0.91316	0.902797	0.921649	0.86905	0.869139	0.919819	0.885643	0.856555	0.88482	0.803833	0.900722	0.837356	0.832585	0.846146	0.911522	0.882689	0.823788	0.814445	0.913226	0.797053	0.865672	0.800996	0.822858	0.807829	0.906781	0.837048	0.785693	0.907245	0.917878	0.834029	0.86044	0.850109	0.747874	0.787093	0.883347	0.853669	0.83136	0.862418	0.922887	0.887583	0.824131	0.81839	0.814846	0.868717	0.886351	0.883702	0.841855	0.835896	0.849738	0.781222	0.852573	0.896277	0.90339	0.853816	0.845194	0.814307	0.831159	0.904045	0.913504	0.841775	0.876273	0.813634	0.845725	0.83888	0.838295	0.883237	0.943907	0.786882
skin_21	0.839433	0.785153	0.847744	0.857368	0.880254	0.82004	0.772143	0.820487	0.910574	0.858296	0.825209	0.865146	0.86596	0.87309	0.830749	0.834328	0.812122	0.919306	0.83906	0.822657	0	0.827291	0.812651	0.756842	0.814659	0.767491	0.78188	0.815294	0.823655	0.811544	0.816643	0.828983	0.824102	0.861792	0.90321	0.884078	0.904565	0.871008	0.861902	0.845226	0.927463	0.841133	0.849632	0.751353	0.874011	0.869026	0.747783	0.820557	0.845571	0.847315	0.903248	0.867566	0.849101	0.877547	0.7998	0.849448	0.860943	0.828649	0.789113	0.819441	0.881871	0.908156	0.881826	0.837093	0.824444	0.852767	0.896243	0.836153	0.853946	0.86376	0.931033	0.842335	0.870887	0.832657	0.882274	0.847207	0.886722	0.851553	0.844554	0.843563	0.796858	0.872308	0.857057	0.893399	0.866783	0.798529	0.828608	0.894989	0.828171	0.886812	0.894199	0.850153	0.821102	0.82575	0.818583	0.925164	0.848527	0.877367	0.948661	0.885786
skin_22	0.881202	0.836126	0.815356	0.893731	0.789099	0.884559	0.880263	0.91658	0.882734	0.883118	0.859707	0.900863	0.787809	0.844681	0.847841	0.822388	0.870242	0.848482	0.870957	0.864293	0.827291	0	0.812524	0.886272	0.915644	0.85687	0.810416	0.853605	0.883606	0.841234	0.941782	0.868037	0.90808	0.889989	0.906171	0.856678	0.81847	0.90514	0.822804	0.835651	0.879154	0.887389	0.895185	0.857438	0.833334	0.839467	0.882384	0.822085	0.874105	0.880994	0.824052	0.832935	0.898951	0.893639	0.880479	0.863376	0.853211	0.868001	0.837674	0.874315	0.934212	0.829869	0.917296	0.864342	0.830435	0.827972	0.900088	0.869464	0.905546	0.816466	0.877783	0.840185	0.840589	0.87569	0.91452	0.821619	0.9207	0.927506	0.923524	0.842343	0.804897	0.867242	0.833311	0.886163	0.861186	0.894643	0.8257	0.878778	0.848187	0.870354	0.856131	0.877897	0.86794	0.821706	0.844761	0.887341	0.818092	0.890941	0.894088	0.872312
skin_23	0.815523	0.846508	0.85623	0.805661	0.878523	0.805792	0.856348	0.906154	0.903002	0.823988	0.814574	0.869231	0.835916	0.805041	0.812754	0.806573	0.867791	0.88938	0.856114	0.831862	0.812651	0.812524	0	0.841096	0.87331	0.880066	0.873117	0.842335	0.859789	0.915635	0.919865	0.809312	0.848246	0.92652	0.852463	0.835482	0.933008	0.892724	0.898262	0.85633	0.897014	0.835801	0.856474	0.760779	0.857173	0.843958	0.821038	0.867232	0.878455	0.841125	0.85951	0.890284	0.815403	0.860417	0.856001	0.820305	0.941714	0.887245	0.796301	0.825949	0.852779	0.842557	0.8564	0.867073	0.835372	0.851269	0.877613	0.838382	0.880382	0.876939	0.900201	0.892821	0.811068	0.854808	0.881657	0.872638	0.917869	0.846588	0.903868	0.89736	0.805543	0.919599	0.897936	0.849783	0.937568	0.875604	0.812856	0.849774	0.850869	0.859492	0.832866	0.892341	0.89644	0.809839	0.857587	0.839133	0.813398	0.883692	0.891253	0.8736
skin_24	0.797587	0.8367	0.866551	0.91684	0.909002	0.870414	0.869934	0.826902	0.918367	0.841023	0.805856	0.859874	0.805447	0.897982	0.854545	0.838899	0.801178	0.898788	0.804929	0.886916	0.756842	0.886272	0.841096	0	0.884026	0.762945	0.841535	0.893732	0.750865	0.88309	0.91164	0.826664	0.893152	0.879456	0.883328	0.807479	0.812219	0.895233	0.81357	0.842051	0.901474	0.868617	0.872691	0.788032	0.841643	0.871207	0.808108	0.850797	0.831399	0.857647	0.834963	0.867095	0.780383	0.903016	0.862299	0.851291	0.840088	0.855255	0.862835	0.873227	0.852841	0.790573	0.936683	0.840169	0.798142	0.8482	0.874549	0.820773	0.849382	0.888969	0.918055	0.82947	0.861985	0.803844	0.821052	0.872501	0.852611	0.881082	0.872795	0.873452	0.812223	0.919795	0.843128	0.802816	0.901275	0.812446	0.853927	0.852217	0.862202	0.858799	0.865247	0.875515	0.939235	0.785585	0.864349	0.835911	0.848803	0.760138	0.909472	0.76766
skin_25	0.840983	0.825154	0.839684	0.885184	0.932359	0.85416	0.846873	0.90656	0.914446	0.795579	0.888363	0.897866	0.911081	0.88078	0.825953	0.914023	0.85898	0.946565	0.864208	0.864837	0.814659	0.915644	0.87331	0.884026	0	0.85749	0.890239	0.932935	0.880775	0.833849	0.936985	0.87683	0.924138	0.911026	0.927802	0.907666	0.942483	0.943817	0.924371	0.903026	0.891941	0.927658	0.897633	0.85544	0.904045	0.869796	0.923417	0.919997	0.811725	0.919376	0.88901	0.878885	0.872428	0.826726	0.87458	0.853358	0.873298	0.876199	0.897719	0.818213	0.881105	0.911198	0.863268	0.881423	0.889844	0.869861	0.877879	0.916025	0.908878	0.850737	0.843135	0.864674	0.855288	0.89285	0.923279	0.887011	0.908681	0.883159	0.917392	0.888696	0.873107	0.880601	0.922588	0.87037	0.986437	0.86906	0.85237	0.857237	0.837416	0.946465	0.904978	0.878236	0.921581	0.863983	0.942049	0.931223	0.878548	0.910382	0.935905	0.879201
