ID	Genome_size	Genome_size2	Genome_size3	Genome_size4	Taxonomic	Sequence	Kingdom
S035	29.08039093	29.08039093	29.08039093	29.08039093	0.002352912	0.006567414	Fungi
S036	31.11931229	31.11931229	31.11931229	31.11931229	0.002312516	0.006907222	Fungi
S037	36.20674229	36.20674229	36.20674229	36.20674229	0.002259904	0.007853587	Fungi
S038	27.70816422	27.70816422	27.70816422	27.70816422	0.002225936	0.005919828	Fungi
S039	31.16172218	31.16172218	31.16172218	31.16172218	0.002214058	0.006622151	Fungi
S040	41.5831089	41.5831089	41.5831089	41.5831089	0.002198507	0.008774721	Fungi
S041	38.09141064	38.09141064	38.09141064	38.09141064	0.002134373	0.007803436	Fungi
S042	24.92071056	24.92071056	24.92071056	24.92071056	0.002085255	0.00498779	Fungi
S043	48.9737854	48.9737854	48.9737854	48.9737854	0.002077951	0.009767595	Fungi
S044	17.51165867	17.51165867	17.51165867	17.51165867	0.002002485	0.003365775	Fungi
S045	33.02075958	33.02075958	33.02075958	33.02075958	0.001965883	0.006230651	Fungi
S046	16.86934948	16.86934948	16.86934948	16.86934948	0.001963228	0.00317876	Fungi
S047	11.35680389	11.35680389	11.35680389	11.35680389	0.00194227	0.002117163	Fungi
S048	46.92512131	46.92512131	46.92512131	46.92512131	0.001936937	0.008723878	Fungi
S049	5.952710152	5.952710152	5.952710152	5.952710152	0.001904107	0.001087914	Fungi
S050	7.412594795	7.412594795	7.412594795	7.412594795	0.001852776	0.001318201	Fungi
S051	31.80468559	31.80468559	31.80468559	31.80468559	0.001829198	0.005583935	Fungi
S052	42.32260418	42.32260418	42.32260418	42.32260418	0.001786184	0.007255833	Fungi
S053	2.113323212	2.113323212	2.113323212	2.113323212	0.001769642	0.000358955	Fungi
S054	22.50797272	22.50797272	22.50797272	22.50797272	0.001729962	0.00373733	Fungi
S055	32.9013052	32.9013052	32.9013052	32.9013052	0.001712385	0.005407582	Fungi
S056	30.28260326	30.28260326	30.28260326	30.28260326	0.001700878	0.004943734	Fungi
S057	33.80222511	33.80222511	33.80222511	33.80222511	0.001673755	0.005430323	Fungi
S058	32.2551384	32.2551384	32.2551384	32.2551384	0.001646177	0.005096407	Fungi
S059	26.93937397	26.93937397	26.93937397	26.93937397	0.001544439	0.003993436	Fungi
S060	59.28450203	59.28450203	50	59.28450203	0.001541669	0.008772451	Fungi
S061	27.3512001	27.3512001	27.3512001	27.3512001	0.001532136	0.004022187	Fungi
S062	13.66451931	13.66451931	13.66451931	13.66451931	0.001530074	0.00200676	Fungi
S063	9.332378387	9.332378387	9.332378387	9.332378387	0.001475414	0.001321584	Fungi
S064	33.61033726	33.61033726	33.61033726	33.61033726	0.001471759	0.004747863	Fungi
S065	18.12130547	18.12130547	18.12130547	18.12130547	0.001466243	0.002550258	Fungi
S066	10.47362518	10.47362518	10.47362518	10.47362518	0.001426255	0.001433781	Fungi
S067	31.86538982	31.86538982	31.86538982	31.86538982	0.001417312	0.004334843	Fungi
S068	9.337373734	9.337373734	9.337373734	9.337373734	0.001376603	0.001233736	Fungi
S069	33.2429142	33.2429142	33.2429142	33.2429142	0.001375672	0.004389375	Fungi
S070	10.98085785	10.98085785	10.98085785	10.98085785	0.001363122	0.001436679	Fungi
S071	22.46446991	22.46446991	22.46446991	22.46446991	0.001362703	0.002938231	Fungi
S072	42.32517242	42.32517242	42.32517242	42.32517242	0.001359564	0.005523153	Fungi
S073	2.175239563	2.175239563	2.175239563	2.175239563	0.001340658	0.000279907	Fungi
S074	30.32706833	30.32706833	30.32706833	30.32706833	0.001325354	0.003857899	Fungi
S075	34.40594864	34.40594864	34.40594864	34.40594864	0.001308825	0.004322189	Fungi
S076	32.56429958	32.56429958	32.56429958	32.56429958	0.001279663	0.003999687	Fungi
S077	10.24587727	10.24587727	10.24587727	10.24587727	0.001255	0.001234189	Fungi
S078	2.141527176	2.141527176	2.141527176	2.141527176	0.001236563	0.000254172	Fungi
S079	33.52699471	33.52699471	33.52699471	33.52699471	0.001234613	0.003972958	Fungi
S080	35.65794754	35.65794754	35.65794754	35.65794754	0.001199408	0.004104987	Fungi
S081	21.81607151	21.81607151	21.81607151	21.81607151	0.001194227	0.002500644	Fungi
S082	8.806162834	8.806162834	8.806162834	8.806162834	0.001192333	0.001007796	Fungi
S083	23.04288483	23.04288483	23.04288483	23.04288483	0.001191604	0.002635467	Fungi
S084	29.33293438	29.33293438	29.33293438	29.33293438	0.001187693	0.003343861	Fungi
S085	21.88220024	21.88220024	21.88220024	21.88220024	0.001133759	0.002381224	Fungi
S086	34.28390121	34.28390121	34.28390121	34.28390121	0.00111664	0.003674446	Fungi
S087	37.80912495	37.80912495	37.80912495	37.80912495	0.001101534	0.003997449	Fungi
S088	34.05269146	34.05269146	34.05269146	34.05269146	0.001069498	0.003495587	Fungi
S089	27.99594402	27.99594402	27.99594402	27.99594402	0.001050333	0.002822349	Fungi
S090	35.8081646	35.8081646	35.8081646	35.8081646	0.001037808	0.003566874	Fungi
S091	39.57480907	39.57480907	39.57480907	39.57480907	0.001017227	0.003863895	Fungi
S092	32.37990761	32.37990761	32.37990761	32.37990761	0.001010677	0.003141062	Fungi
S093	21.75862885	21.75862885	21.75862885	21.75862885	0.001001388	0.002091329	Fungi
S094	52.09319973	52.09319973	50	52.09319973	0.001000754	0.005003765	Fungi
S095	28.0184145	28.0184145	28.0184145	28.0184145	0.000986039	0.002651711	Fungi
S096	41.31443214	41.31443214	41.31443214	41.31443214	0.000970479	0.003848366	Fungi
S097	29.80229473	29.80229473	29.80229473	29.80229473	0.000961769	0.002751116	Fungi
S098	2.213161469	2.213161469	2.213161469	2.213161469	0.00095134	0.000202087	Fungi
S099	29.15567684	29.15567684	29.15567684	29.15567684	0.000929672	0.002601606	Fungi
S100	38.71925163	38.71925163	38.71925163	38.71925163	0.000929527	0.003454438	Fungi
S101	32.61563015	32.61563015	32.61563015	32.61563015	0.000913144	0.002858601	Fungi
S102	34.87703133	34.87703133	34.87703133	34.87703133	0.000912282	0.003053917	Fungi
S103	11.16074657	11.16074657	11.16074657	11.16074657	0.000897605	0.00096154	Fungi
S104	23.34203148	23.34203148	23.34203148	23.34203148	0.000886935	0.001987097	Fungi
S105	35.01116467	35.01116467	35.01116467	35.01116467	0.00088471	0.002973007	Fungi
S106	17.81514549	17.81514549	17.81514549	17.81514549	0.000880823	0.001506144	Fungi
S107	25.09352207	25.09352207	25.09352207	25.09352207	0.000850998	0.002049646	Fungi
S108	35.68718147	35.68718147	35.68718147	35.68718147	0.000844812	0.002893748	Fungi
S109	10.44086456	10.44086456	10.44086456	10.44086456	0.000834094	0.000835872	Fungi
S110	32.14116287	32.14116287	32.14116287	32.14116287	0.000829937	0.002560325	Fungi
S111	14.11602306	14.11602306	14.11602306	14.11602306	0.000820998	0.001112354	Fungi
S112	41.3304348	41.3304348	41.3304348	41.3304348	0.000817075	0.00324131	Fungi
S113	34.59628391	34.59628391	34.59628391	34.59628391	0.00081566	0.00270849	Fungi
S114	7.880519867	7.880519867	7.880519867	7.880519867	0.000808279	0.000611371	Fungi
S115	17.743536	17.743536	17.743536	17.743536	0.000806744	0.001373929	Fungi
S116	33.69043159	33.69043159	33.69043159	33.69043159	0.000799012	0.002583738	Fungi
S117	3.938234329	3.938234329	3.938234329	3.938234329	0.000785529	0.000296929	Fungi
S118	31.35916615	31.35916615	31.35916615	31.35916615	0.00077057	0.002319345	Fungi
S119	13.18187714	13.18187714	13.18187714	13.18187714	0.000768224	0.000971972	Fungi
S120	8.666440964	8.666440964	8.666440964	8.666440964	0.000763769	0.000635319	Fungi
S121	36.92669296	36.92669296	36.92669296	36.92669296	0.000750148	0.002658739	Fungi
S122	18.66840935	18.66840935	18.66840935	18.66840935	0.000743415	0.001332071	Fungi
S123	30.73080349	30.73080349	30.73080349	30.73080349	0.000727706	0.002146438	Fungi
S124	12.72954464	12.72954464	12.72954464	12.72954464	0.000718489	0.000877852	Fungi
S125	35.95201683	35.95201683	35.95201683	35.95201683	0.000717964	0.002477505	Fungi
S126	7.245265961	7.245265961	7.245265961	7.245265961	0.00070843	0.000492652	Fungi
S127	34.4433279	34.4433279	34.4433279	34.4433279	0.000697575	0.002306133	Fungi
S128	13.65398026	13.65398026	13.65398026	13.65398026	0.000690424	0.000904823	Fungi
S129	11.33326817	11.33326817	11.33326817	11.33326817	0.000678463	0.000738023	Fungi
S130	32.6520853	32.6520853	32.6520853	32.6520853	0.000677799	0.002124226	Fungi
S131	12.14846039	12.14846039	12.14846039	12.14846039	0.000665677	0.0007762	Fungi
S132	37.25140953	37.25140953	37.25140953	37.25140953	0.000658577	0.002354713	Fungi
S133	18.39754581	18.39754581	18.39754581	18.39754581	0.000649317	0.001146582	Fungi
S134	97.70490074	90	50	90	0.000649101	0.006087191	Fungi
S135	35.9447155	35.9447155	35.9447155	35.9447155	0.000645652	0.002227524	Fungi
S136	7.874615669	7.874615669	7.874615669	7.874615669	0.000642494	0.000485609	Fungi
S137	33.55842304	33.55842304	33.55842304	33.55842304	0.000634828	0.002044778	Fungi
S138	32.81163597	32.81163597	32.81163597	32.81163597	0.000622517	0.001960504	Fungi
S139	23.3050642	23.3050642	23.3050642	23.3050642	0.000621672	0.001390592	Fungi
S140	13.56597424	13.56597424	13.56597424	13.56597424	0.000606183	0.000789303	Fungi
S141	11.23478603	11.23478603	11.23478603	11.23478603	0.000601665	0.000648796	Fungi
S142	12.68617821	12.68617821	12.68617821	12.68617821	0.000598955	0.000729312	Fungi
S143	5.508564949	5.508564949	5.508564949	5.508564949	0.000592196	0.000313107	Fungi
S144	50.17371178	50.17371178	50	50.17371178	0.000583241	0.002808747	Fungi
S145	31.2628088	31.2628088	31.2628088	31.2628088	0.000535376	0.001606481	Fungi
S146	10.58988571	10.58988571	10.58988571	10.58988571	0.000523271	0.000531871	Fungi
S147	35.73300552	35.73300552	35.73300552	35.73300552	0.000504618	0.001730696	Fungi
S148	20.113904	20.113904	20.113904	20.113904	0.000496273	0.000958089	Fungi
S149	15.01550961	15.01550961	15.01550961	15.01550961	0.000494118	0.000712131	Fungi
S150	19.55975819	19.55975819	19.55975819	19.55975819	0.00049361	0.000926693	Fungi
S151	35.46623611	35.46623611	35.46623611	35.46623611	0.000493382	0.001679527	Fungi
S152	38.07650661	38.07650661	38.07650661	38.07650661	0.000491264	0.001795397	Fungi
S153	19.53821754	19.53821754	19.53821754	19.53821754	0.000487147	0.000913552	Fungi
S154	31.7833252	31.7833252	31.7833252	31.7833252	0.000483369	0.001474574	Fungi
S155	11.76338673	11.76338673	11.76338673	11.76338673	0.000480257	0.000542244	Fungi
S156	37.41180897	37.41180897	37.41180897	37.41180897	0.00047757	0.001714884	Fungi
S157	32.83781242	32.83781242	32.83781242	32.83781242	0.000470813	0.001483923	Fungi
S158	36.69477654	36.69477654	36.69477654	36.69477654	0.000467489	0.001646511	Fungi
S159	12.85755444	12.85755444	12.85755444	12.85755444	0.000461231	0.000569201	Fungi
S160	49.54805565	49.54805565	49.54805565	49.54805565	0.000454688	0.002162364	Fungi
S161	11.97955608	11.97955608	11.97955608	11.97955608	0.000447305	0.000514319	Fungi
S162	18.89489269	18.89489269	18.89489269	18.89489269	0.000396915	0.000719831	Fungi
S163	10.71308422	10.71308422	10.71308422	10.71308422	0.000385839	0.000396743	Fungi
S164	47.20371246	47.20371246	47.20371246	47.20371246	0.000375622	0.00170183	Fungi
S165	31.81973934	31.81973934	31.81973934	31.81973934	0.000365365	0.001115866	Fungi
S166	27.6597271	27.6597271	27.6597271	27.6597271	0.000348321	0.000924732	Fungi
S167	27.37186241	27.37186241	27.37186241	27.37186241	0.000345112	0.000906678	Fungi
S168	44.92972374	44.92972374	44.92972374	44.92972374	0.000340375	0.001467845	Fungi
S169	27.65151024	27.65151024	27.65151024	27.65151024	0.000335892	0.00089147	Fungi
S170	28.35024071	28.35024071	28.35024071	28.35024071	0.000335876	0.000913954	Fungi
S171	23.34818363	23.34818363	23.34818363	23.34818363	0.000334918	0.000750551	Fungi
S172	37.14860916	37.14860916	37.14860916	37.14860916	0.00032981	0.001175967	Fungi
S173	32.30100536	32.30100536	32.30100536	32.30100536	0.000316563	0.000981443	Fungi
S174	32.30415535	32.30415535	32.30415535	32.30415535	0.000316449	0.000981185	Fungi
S175	11.74010468	11.74010468	11.74010468	11.74010468	0.000310115	0.000349448	Fungi
S176	41.9635973	41.9635973	41.9635973	41.9635973	0.000305289	0.001229624	Fungi
S177	79.57241535	79.57241535	50	79.57241535	0.000305166	0.002330706	Fungi
S178	25.47052193	25.47052193	25.47052193	25.47052193	0.000289118	0.000706808	Fungi
S179	29.24369526	29.24369526	29.24369526	29.24369526	0.000285266	0.000800702	Fungi
S180	37.68980312	37.68980312	37.68980312	37.68980312	0.000283482	0.001025504	Fungi
S181	11.6990118	11.6990118	11.6990118	11.6990118	0.000270737	0.000304009	Fungi
S182	16.59701729	16.59701729	16.59701729	16.59701729	0.000264423	0.000421229	Fungi
S183	14.70331955	14.70331955	14.70331955	14.70331955	0.000257237	0.000363026	Fungi
S184	2.412405014	2.412405014	2.412405014	2.412405014	0.000254124	5.88E-05	Fungi
S185	30.35055542	30.35055542	30.35055542	30.35055542	0.000253695	0.000739039	Fungi
S186	18.09112263	18.09112263	18.09112263	18.09112263	0.000235622	0.000409138	Fungi
S187	30.73123264	30.73123264	30.73123264	30.73123264	0.000233882	0.000689866	Fungi
S188	28.37462902	28.37462902	28.37462902	28.37462902	0.000229087	0.000623907	Fungi
S189	36.54976654	36.54976654	36.54976654	36.54976654	0.000222813	0.000781653	Fungi
S190	31.77119541	31.77119541	31.77119541	31.77119541	0.000214958	0.000655505	Fungi
S191	19.17662239	19.17662239	19.17662239	19.17662239	0.000178981	0.000329434	Fungi
S192	37.68044376	37.68044376	37.68044376	37.68044376	0.000171957	0.000621906	Fungi
S193	16.90889359	16.90889359	16.90889359	16.90889359	0.000159247	0.00025845	Fungi
S194	43.80004311	43.80004311	43.80004311	43.80004311	0.000148069	0.000622481	Fungi
S195	19.84432411	19.84432411	19.84432411	19.84432411	0.000142698	0.000271796	Fungi
S196	36.27235126	36.27235126	36.27235126	36.27235126	0.0001379	0.000480095	Fungi
S197	14.91054821	14.91054821	14.91054821	14.91054821	0.000115678	0.000165551	Fungi
S198	120.6827431	90	50	90	8.68E-05	0.001005024	Fungi
S199	37.33054256	37.33054256	37.33054256	37.33054256	7.89E-05	0.000282696	Fungi
S200	28.92867756	28.92867756	28.92867756	28.92867756	4.56E-05	0.000126481	Fungi
S201	0.008773804	0.008773804	0.008773804	0.1	0.016638381	1.40E-05	Viral
S202	0.002083778	0.002083778	0.002083778	0.1	0.032547087	6.51E-06	Viral
S203	0.136415482	0.136415482	0.136415482	0.136415482	0.008436812	0.000110467	Viral
S204	0.004160881	0.004160881	0.004160881	0.1	0.008042396	3.21E-06	Viral
S205	0.005321503	0.005321503	0.005321503	0.1	0.008751627	4.47E-06	Viral
S206	0.001456261	0.001456261	0.001456261	0.1	0.006591228	9.21E-07	Viral
S207	0.004796982	0.004796982	0.004796982	0.1	0.008868472	4.08E-06	Viral
S208	0.011946678	0.011946678	0.011946678	0.1	0.007914924	9.08E-06	Viral
S209	0.011844635	0.011844635	0.011844635	0.1	0.003480504	3.96E-06	Viral
S210	0.074430466	0.074430466	0.074430466	0.1	0.003264465	2.33E-05	Viral
S211	0.002713203	0.002713203	0.002713203	0.1	0.005312552	1.38E-06	Viral
S212	0.002654076	0.002654076	0.002654076	0.1	0.003981602	1.01E-06	Viral
S213	0.042409897	0.042409897	0.042409897	0.1	0.006270482	2.55E-05	Viral
S214	0.012475967	0.012475967	0.012475967	0.1	0.005755551	6.89E-06	Viral
S215	0.027686119	0.027686119	0.027686119	0.1	0.003366342	8.95E-06	Viral
S216	0.003219604	0.003219604	0.003219604	0.1	0.002882817	8.91E-07	Viral
S217	0.014832497	0.014832497	0.014832497	0.1	0.00530954	7.56E-06	Viral
S218	0.165346146	0.165346146	0.165346146	0.165346146	0.004101135	6.51E-05	Viral
S219	0.005018234	0.005018234	0.005018234	0.1	0.003704441	1.78E-06	Viral
S220	0.140227318	0.140227318	0.140227318	0.140227318	0.003248584	4.37E-05	Viral
S221	0.0050354	0.0050354	0.0050354	0.1	0.002609805	1.26E-06	Viral
S222	0.018696785	0.018696785	0.018696785	0.1	0.002251107	4.04E-06	Viral
S223	0.028608322	0.028608322	0.028608322	0.1	0.002975056	8.17E-06	Viral
S224	0.015124321	0.015124321	0.015124321	0.1	0.002182613	3.17E-06	Viral
S225	0.115773201	0.115773201	0.115773201	0.115773201	0.002758313	3.07E-05	Viral
S226	0.0048666	0.0048666	0.0048666	0.1	0.002107979	9.85E-07	Viral
S227	0.049183846	0.049183846	0.049183846	0.1	0.002469249	1.17E-05	Viral
S228	0.114987373	0.114987373	0.114987373	0.114987373	0.005481475	6.05E-05	Viral
S229	0.014392853	0.014392853	0.014392853	0.1	0.001705377	2.36E-06	Viral
S230	0.041894913	0.041894913	0.041894913	0.1	0.005756902	2.31E-05	Viral
S231	0.002231598	0.002231598	0.002231598	0.1	0.001952786	4.18E-07	Viral
S232	0.004464149	0.004464149	0.004464149	0.1	0.001705472	7.31E-07	Viral
S233	0.001869202	0.001869202	0.001869202	0.1	0.001919579	3.44E-07	Viral
S234	0.006727219	0.006727219	0.006727219	0.1	0.001590509	1.03E-06	Viral
S235	0.003353119	0.003353119	0.003353119	0.1	0.004087828	1.32E-06	Viral
S236	0.011284828	0.011284828	0.011284828	0.1	0.001590635	1.72E-06	Viral
S237	0.049283028	0.049283028	0.049283028	0.1	0.004902001	2.32E-05	Viral
S238	0.043169975	0.043169975	0.043169975	0.1	0.001911893	7.92E-06	Viral
S239	0.006919861	0.006919861	0.006919861	0.1	0.001160345	7.71E-07	Viral
S240	0.017438889	0.017438889	0.017438889	0.1	0.002526805	4.23E-06	Viral
S241	0.012797356	0.012797356	0.012797356	0.1	0.001531075	1.88E-06	Viral
S242	0.009304047	0.009304047	0.009304047	0.1	0.001464471	1.31E-06	Viral
S243	0.048368454	0.048368454	0.048368454	0.1	0.001861706	8.64E-06	Viral
S244	0.015738487	0.015738487	0.015738487	0.1	0.003043981	4.60E-06	Viral
S245	0.042586327	0.042586327	0.042586327	0.1	0.002297306	9.39E-06	Viral
S246	0.007616997	0.007616997	0.007616997	0.1	0.002331398	1.70E-06	Viral
S247	0.040585518	0.040585518	0.040585518	0.1	0.001768744	6.89E-06	Viral
S248	0.007535934	0.007535934	0.007535934	0.1	0.001104801	7.99E-07	Viral
S249	0.011220932	0.011220932	0.011220932	0.1	0.001950493	2.10E-06	Viral
S250	0.006016731	0.006016731	0.006016731	0.1	0.001659964	9.59E-07	Viral
S251	0.008499146	0.008499146	0.008499146	0.1	0.00136067	1.11E-06	Viral
S252	0.010131836	0.010131836	0.010131836	0.1	0.002409069	2.34E-06	Viral
S253	0.005637169	0.005637169	0.005637169	0.1	0.001155237	6.25E-07	Viral
S254	0.003130913	0.003130913	0.003130913	0.1	0.002320493	6.97E-07	Viral
S255	0.015617371	0.015617371	0.015617371	0.1	0.002407979	3.61E-06	Viral
S256	0.027496338	0.027496338	0.027496338	0.1	0.001030237	2.72E-06	Viral
S257	0.00875473	0.00875473	0.00875473	0.1	0.001791113	1.51E-06	Viral
S258	0.003689766	0.003689766	0.003689766	0.1	0.002885251	1.02E-06	Viral
S259	0.00501442	0.00501442	0.00501442	0.1	0.001615831	7.78E-07	Viral
S260	0.05087471	0.05087471	0.05087471	0.1	0.00102538	5.01E-06	Viral
S261	0.012270927	0.012270927	0.012270927	0.1	0.001068424	1.26E-06	Viral
S262	0.007022858	0.007022858	0.007022858	0.1	0.001736111	1.17E-06	Viral
S263	0.009661674	0.009661674	0.009661674	0.1	0.001093891	1.01E-06	Viral
S264	0.004838943	0.004838943	0.004838943	0.1	0.001195095	5.55E-07	Viral
S265	0.003376961	0.003376961	0.003376961	0.1	0.001172841	3.80E-07	Viral
S266	0.040261269	0.040261269	0.040261269	0.1	0.000842438	3.26E-06	Viral
S267	0.002754211	0.002754211	0.002754211	0.1	0.001378818	3.64E-07	Viral
S268	0.004878044	0.004878044	0.004878044	0.1	0.001428868	6.69E-07	Viral
S269	0.007267952	0.007267952	0.007267952	0.1	0.001040019	7.26E-07	Viral
S270	0.044184685	0.044184685	0.044184685	0.1	0.001088439	4.62E-06	Viral
S271	0.009659767	0.009659767	0.009659767	0.1	0.00152171	1.41E-06	Viral
S272	0.002942085	0.002942085	0.002942085	0.1	0.001660988	4.69E-07	Viral
S273	0.040718079	0.040718079	0.040718079	0.1	0.001241966	4.85E-06	Viral
S274	0.006629944	0.006629944	0.006629944	0.1	0.000379208	2.41E-07	Viral
S275	0.000930786	0.000930786	0.000930786	0.1	0.001013532	9.05E-08	Viral
S276	0.174983978	0.174983978	0.174983978	0.174983978	0.001456843	2.45E-05	Viral
S277	0.010892868	0.010892868	0.010892868	0.1	0.000895663	9.36E-07	Viral
S278	0.042491913	0.042491913	0.042491913	0.1	0.000874459	3.57E-06	Viral
S279	0.238852501	0.238852501	0.238852501	0.238852501	0.00137967	3.16E-05	Viral
S280	0.009327888	0.009327888	0.009327888	0.1	0.000755645	6.77E-07	Viral
S281	0.005232811	0.005232811	0.005232811	0.1	0.000723354	3.63E-07	Viral
S282	0.005174637	0.005174637	0.005174637	0.1	0.000985421	4.89E-07	Viral
S283	0.100347519	0.100347519	0.100347519	0.100347519	0.000496719	4.78E-06	Viral
S284	0.003342628	0.003342628	0.003342628	0.1	0.001199189	3.85E-07	Viral
S285	0.008140564	0.008140564	0.008140564	0.1	0.002766081	2.16E-06	Viral
S286	0.006892204	0.006892204	0.006892204	0.1	0.001201139	7.95E-07	Viral
S287	0.005304337	0.005304337	0.005304337	0.1	0.000671504	3.42E-07	Viral
S288	0.001285553	0.001285553	0.001285553	0.1	0.00162789	2.01E-07	Viral
S289	0.011870384	0.011870384	0.011870384	0.1	0.00087518	9.97E-07	Viral
S290	0.033251762	0.033251762	0.033251762	0.1	0.000986524	3.15E-06	Viral
S291	0.004716873	0.004716873	0.004716873	0.1	0.000492715	2.23E-07	Viral
S292	0.018218994	0.018218994	0.018218994	0.1	0.001178383	2.06E-06	Viral
S293	0.006660461	0.006660461	0.006660461	0.1	0.001758744	1.12E-06	Viral
S294	0.002227783	0.002227783	0.002227783	0.1	0.002087007	4.46E-07	Viral
S295	0.005121231	0.005121231	0.005121231	0.1	0.00171431	8.43E-07	Viral
S296	0.008971214	0.008971214	0.008971214	0.1	0.001536701	1.32E-06	Viral
S297	0.002164841	0.002164841	0.002164841	0.1	0.000779537	1.62E-07	Viral
S298	0.084905624	0.084905624	0.084905624	0.1	0.000852337	6.95E-06	Viral
S299	0.001401901	0.001401901	0.001401901	0.1	0.000606274	8.16E-08	Viral
S300	0.148469925	0.148469925	0.148469925	0.148469925	0.001130958	1.61E-05	Viral
S301	0.011395454	0.011395454	0.011395454	0.1	0.000607036	6.64E-07	Viral
S302	0.002734184	0.002734184	0.002734184	0.1	0.001083376	2.84E-07	Viral
S303	0.021571159	0.021571159	0.021571159	0.1	0.000692871	1.43E-06	Viral
S304	0.009020805	0.009020805	0.009020805	0.1	0.000371031	3.21E-07	Viral
S305	0.026536942	0.026536942	0.026536942	0.1	0.001339806	3.41E-06	Viral
S306	0.190924644	0.190924644	0.190924644	0.190924644	0.000556156	1.02E-05	Viral
S307	0.00488472	0.00488472	0.00488472	0.1	0.000614527	2.88E-07	Viral
S308	0.009004593	0.009004593	0.009004593	0.1	0.00056934	4.92E-07	Viral
S309	0.002569199	0.002569199	0.002569199	0.1	0.000561383	1.38E-07	Viral
S310	0.002883911	0.002883911	0.002883911	0.1	0.000806047	2.23E-07	Viral
S311	0.070426941	0.070426941	0.070426941	0.1	0.000710399	4.80E-06	Viral
S312	0.04323101	0.04323101	0.04323101	0.1	0.000618529	2.57E-06	Viral
S313	0.010372162	0.010372162	0.010372162	0.1	0.000525962	5.24E-07	Viral
S314	0.007257462	0.007257462	0.007257462	0.1	0.000835199	5.82E-07	Viral
S315	0.028534889	0.028534889	0.028534889	0.1	0.000595624	1.63E-06	Viral
S316	0.12668705	0.12668705	0.12668705	0.12668705	0.000557185	6.78E-06	Viral
S317	0.190924644	0.190924644	0.190924644	0.190924644	0.000537639	9.85E-06	Viral
S318	0.003165245	0.003165245	0.003165245	0.1	0.000682713	2.07E-07	Viral
S319	0.002841949	0.002841949	0.002841949	0.1	0.000765741	2.09E-07	Viral
S320	0.009134293	0.009134293	0.009134293	0.1	0.000434782	3.81E-07	Viral
S321	0.002765656	0.002765656	0.002765656	0.1	0.000779455	2.07E-07	Viral
S322	0.015296936	0.015296936	0.015296936	0.1	0.000935919	1.37E-06	Viral
