ID	Taxonomic	Sequence	Genome_size	Kingdom
S109	0.002502281	0.000923886	10.44086456	Fungi
S110	0.00248981	0.002829915	32.14116287	Fungi
S111	0.002462993	0.001229479	14.11602306	Fungi
S112	0.002451226	0.003582604	41.3304348	Fungi
S113	0.00244698	0.002993681	34.59628391	Fungi
S114	0.002424836	0.000675745	7.880519867	Fungi
S115	0.002420231	0.001518597	17.743536	Fungi
S116	0.002397036	0.002855793	33.69043159	Fungi
S117	0.002356588	0.000328194	3.938234329	Fungi
S118	0.002311711	0.002563561	31.35916615	Fungi
S119	0.002304672	0.001074316	13.18187714	Fungi
S120	0.002291308	0.000702214	8.666440964	Fungi
S121	0.002250443	0.002938692	36.92669296	Fungi
S122	0.002230246	0.001472332	18.66840935	Fungi
S123	0.002183117	0.002372447	30.73080349	Fungi
S124	0.002155466	0.000970286	12.72954464	Fungi
S125	0.002153892	0.002738374	35.95201683	Fungi
S126	0.002125291	0.000544526	7.245265961	Fungi
S127	0.002092724	0.002548957	34.4433279	Fungi
S128	0.002071271	0.001000096	13.65398026	Fungi
S129	0.002035388	0.000815733	11.33326817	Fungi
S130	0.002033398	0.002347897	32.6520853	Fungi
S131	0.001997032	0.00085793	12.14846039	Fungi
S132	0.001975731	0.002602652	37.25140953	Fungi
S133	0.00194795	0.001267311	18.39754581	Fungi
S134	0.001947302	0.006728143	97.70490074	Fungi
S135	0.001936957	0.002462071	35.9447155	Fungi
S136	0.001927482	0.000536742	7.874615669	Fungi
S137	0.001904484	0.002260083	33.55842304	Fungi
S138	0.001867552	0.002166936	32.81163597	Fungi
S139	0.001865015	0.001537015	23.3050642	Fungi
S140	0.00181855	0.000872412	13.56597424	Fungi
S141	0.001804996	0.000717111	11.23478603	Fungi
S142	0.001796865	0.000806105	12.68617821	Fungi
S143	0.001776588	0.000346076	5.508564949	Fungi
S144	0.001749722	0.003104494	50.17371178	Fungi
S145	0.001606128	0.001775635	31.2628088	Fungi
S146	0.001569813	0.000587875	10.58988571	Fungi
S147	0.001513853	0.001912929	35.73300552	Fungi
S148	0.00148882	0.001058972	20.113904	Fungi
S149	0.001482355	0.000787115	15.01550961	Fungi
S150	0.001480829	0.001024269	19.55975819	Fungi
S151	0.001480146	0.001856373	35.46623611	Fungi
S152	0.001473792	0.001984444	38.07650661	Fungi
S153	0.00146144	0.001009744	19.53821754	Fungi
S154	0.001450106	0.001629839	31.7833252	Fungi
S155	0.001440772	0.00059934	11.76338673	Fungi
S156	0.001432711	0.001895453	37.41180897	Fungi
S157	0.001412439	0.001640172	32.83781242	Fungi
S158	0.001402468	0.001819881	36.69477654	Fungi
S159	0.001383694	0.000629135	12.85755444	Fungi
S160	0.001364064	0.00239005	49.54805565	Fungi
S161	0.001341914	0.000568475	11.97955608	Fungi
S162	0.001190745	0.000795626	18.89489269	Fungi
S163	0.001157518	0.000438519	10.71308422	Fungi
S164	0.001126867	0.001881024	47.20371246	Fungi
S165	0.001096095	0.001233362	31.81973934	Fungi
S166	0.001044963	0.001022102	27.6597271	Fungi
S167	0.001035336	0.001002147	27.37186241	Fungi
S168	0.001021126	0.001622402	44.92972374	Fungi
S169	0.001007675	0.000985337	27.65151024	Fungi
S170	0.001007628	0.001010189	28.35024071	Fungi
S171	0.001004753	0.00082958	23.34818363	Fungi
S172	0.000989431	0.001299791	37.14860916	Fungi
S173	0.000949689	0.001084784	32.30100536	Fungi
S174	0.000949348	0.001084499	32.30415535	Fungi
S175	0.000930344	0.000386243	11.74010468	Fungi
S176	0.000915867	0.001359098	41.9635973	Fungi
S177	0.000915498	0.002576118	79.57241535	Fungi
S178	0.000867353	0.000781231	25.47052193	Fungi
S179	0.000855798	0.000885012	29.24369526	Fungi
S180	0.000850445	0.001133485	37.68980312	Fungi
S181	0.000812212	0.000336019	11.6990118	Fungi
S182	0.000793269	0.000465582	16.59701729	Fungi
S183	0.000771711	0.00040125	14.70331955	Fungi
S184	0.000762372	6.50E-05	2.412405014	Fungi
S185	0.000761086	0.000816857	30.35055542	Fungi
S186	0.000706866	0.000452218	18.09112263	Fungi
S187	0.000701645	0.000762505	30.73123264	Fungi
S188	0.000687262	0.000689602	28.37462902	Fungi
S189	0.000668439	0.000863957	36.54976654	Fungi
S190	0.000644875	0.000724527	31.77119541	Fungi
S191	0.000536944	0.000364122	19.17662239	Fungi
S192	0.000515872	0.00068739	37.68044376	Fungi
S193	0.000477742	0.000285663	16.90889359	Fungi
S194	0.000444206	0.000688025	43.80004311	Fungi
S195	0.000428094	0.000300415	19.84432411	Fungi
S196	0.000413699	0.000530647	36.27235126	Fungi
S197	0.000347033	0.000182983	14.91054821	Fungi
S198	0.000260294	0.001110848	120.6827431	Fungi
S199	0.000236694	0.000312463	37.33054256	Fungi
S200	0.000136656	0.000139799	28.92867756	Fungi
