ID	Taxonomic	Sequence	Genome_size	Kingdom
S263	0.003281673	0.001214291	0.009661674	Viral
S264	0.003585286	0.00066443	0.004838943	Viral
S265	0.003518524	0.000455052	0.003376961	Viral
S266	0.002527314	0.003896921	0.040261269	Viral
S267	0.004136454	0.000436315	0.002754211	Viral
S268	0.004286605	0.000800819	0.004878044	Viral
S269	0.003120056	0.000868459	0.007267952	Viral
S270	0.003265317	0.005525505	0.044184685	Viral
S271	0.004565131	0.001688864	0.009659767	Viral
S272	0.004982965	0.000561459	0.002942085	Viral
S273	0.003725897	0.005810226	0.040718079	Viral
S274	0.001137624	0.000288858	0.006629944	Viral
S275	0.003040595	0.000108389	0.000930786	Viral
S276	0.004370529	0.029289178	0.174983978	Viral
S277	0.00268699	0.001120942	0.010892868	Viral
S278	0.002623377	0.004269154	0.042491913	Viral
S279	0.00413901	0.037861797	0.238852501	Viral
S280	0.002266934	0.000809836	0.009327888	Viral
S281	0.002170062	0.000434893	0.005232811	Viral
S282	0.002956264	0.000585866	0.005174637	Viral
S283	0.001490157	0.00572682	0.100347519	Viral
S284	0.003597567	0.000460545	0.003342628	Viral
S285	0.008298242	0.002587114	0.008140564	Viral
S286	0.003603416	0.000951147	0.006892204	Viral
S287	0.002014511	0.000409238	0.005304337	Viral
S288	0.00488367	0.000240442	0.001285553	Viral
S289	0.002625541	0.001193599	0.011870384	Viral
S290	0.002959571	0.003768932	0.033251762	Viral
S291	0.001478144	0.000267021	0.004716873	Viral
S292	0.003535149	0.002466647	0.018218994	Viral
S293	0.005276231	0.00134587	0.006660461	Viral
S294	0.006261022	0.000534187	0.002227783	Viral
S295	0.005142931	0.001008695	0.005121231	Viral
S296	0.004610103	0.001583933	0.008971214	Viral
S297	0.002338611	0.000193892	0.002164841	Viral
S298	0.002557011	0.00831465	0.084905624	Viral
S299	0.001818823	9.77E-05	0.001401901	Viral
S300	0.003392874	0.019292174	0.148469925	Viral
S301	0.001821109	0.000794772	0.011395454	Viral
S302	0.003250129	0.000340332	0.002734184	Viral
S303	0.002078612	0.001717204	0.021571159	Viral
S304	0.001113093	0.000384549	0.009020805	Viral
S305	0.004019419	0.004084972	0.026536942	Viral
S306	0.001668467	0.012199855	0.190924644	Viral
S307	0.001843582	0.000344887	0.00488472	Viral
S308	0.00170802	0.000589022	0.009004593	Viral
S309	0.001684148	0.000165712	0.002569199	Viral
S310	0.00241814	0.000267078	0.002883911	Viral
S311	0.002131198	0.005748275	0.070426941	Viral
S312	0.001855588	0.003072218	0.04323101	Viral
S313	0.001577885	0.000626786	0.010372162	Viral
S314	0.002505598	0.00069642	0.007257462	Viral
S315	0.001786873	0.001952741	0.028534889	Viral
S316	0.001671556	0.008110133	0.12668705	Viral
S317	0.001612918	0.011793674	0.190924644	Viral
S318	0.002048138	0.00024828	0.003165245	Viral
S319	0.002297222	0.000250031	0.002841949	Viral
S320	0.001304346	0.000456292	0.009134293	Viral
S321	0.002338364	0.000247677	0.002765656	Viral
S322	0.002807756	0.001644897	0.015296936	Viral
S323	0.002030623	0.000109024	0.001401901	Viral
S324	0.001996792	0.000632014	0.008264542	Viral
S325	0.001667	9.11E-05	0.001426697	Viral
S326	0.001553104	0.00068592	0.01153183	Viral
S327	0.001398448	0.000152668	0.002850533	Viral
S328	0.002242376	0.000860604	0.01002121	Viral
S329	0.002317295	0.014355999	0.161762238	Viral
S330	0.001328007	0.000137557	0.00270462	Viral
S331	0.003014569	0.000369066	0.003196716	Viral
S332	0.002617813	0.006740665	0.067234039	Viral
S333	0.003516853	0.000688998	0.005115509	Viral
S334	0.003898256	0.000214422	0.001436234	Viral
S335	0.001703717	0.00062307	0.009549141	Viral
S336	0.001298979	0.000364841	0.007333755	Viral
S337	0.000929331	0.002149111	0.060382843	Viral
S338	0.000831364	0.000894447	0.028092384	Viral
S339	0.00214078	0.000682827	0.008328438	Viral
S340	0.002077175	0.000851446	0.010703087	Viral
S341	0.001915216	0.000205236	0.00279808	Viral
S342	0.001678912	0.003468878	0.053949356	Viral
S343	0.001468511	0.009211947	0.163794518	Viral
S344	0.002340305	0.00114684	0.012795448	Viral
S345	0.001080997	0.000240919	0.005819321	Viral
S346	0.002377672	0.00018723	0.002056122	Viral
S347	0.001342402	0.004675845	0.090950012	Viral
S348	0.001291575	0.002571833	0.05199337	Viral
S349	0.000916446	9.67E-05	0.002754211	Viral
S350	0.001740286	0.000760707	0.011413574	Viral
S351	0.00102394	0.000409846	0.010451317	Viral
S352	0.000750597	0.000305919	0.010642052	Viral
S353	0.001484583	0.000700121	0.012313843	Viral
S354	0.002522116	0.000905879	0.009378433	Viral
S355	0.001655919	0.00042306	0.006670952	Viral
S356	0.000952911	0.000188498	0.0051651	Viral
S357	0.00086556	0.001753726	0.052904129	Viral
S358	0.001339058	0.000134593	0.002624512	Viral
S359	0.001240489	0.002720882	0.057271957	Viral
S360	0.000638645	0.000246622	0.010083199	Viral
S361	0.000940449	0.001987243	0.055174828	Viral
S362	0.001202271	0.000259297	0.005631447	Viral
S363	0.000949033	0.003360295	0.092453003	Viral
S364	0.001387417	0.000307082	0.005779266	Viral
S365	0.001158512	0.000323484	0.00729084	Viral
S366	0.000775867	0.002712754	0.091295242	Viral
S367	0.000826574	8.90E-05	0.002812386	Viral
S368	0.000719583	0.000209729	0.007610321	Viral
S369	0.000979943	0.006038114	0.160888672	Viral
S370	0.000915489	0.00033203	0.009469986	Viral
S371	0.000823784	0.000130821	0.004146576	Viral
S372	0.001137688	0.000582027	0.013358116	Viral
S373	0.00050799	0.00098496	0.050627708	Viral
S374	0.001226278	0.000526844	0.011218071	Viral
S375	0.001049998	0.000108377	0.002695084	Viral
S376	0.002147455	0.001564033	0.01901722	Viral
S377	0.000837451	0.0012666	0.039491653	Viral
S378	0.000689729	0.000163568	0.006192207	Viral
S379	0.000786369	0.000231377	0.0076828	Viral
S380	0.000609044	0.000120655	0.005172729	Viral
S381	0.000992284	0.001087728	0.028622627	Viral
S382	0.000710716	1.83E-05	0.000673294	Viral
S383	0.000522156	0.000208962	0.010449409	Viral
S384	0.000736682	0.001146453	0.040635109	Viral
S385	0.000603474	0.000745321	0.032248497	Viral
S386	0.00111268	0.000535747	0.012572289	Viral
S387	0.001104461	0.000328884	0.007775307	Viral
S388	0.000433941	1.79E-05	0.001076698	Viral
S389	0.000961074	0.001841416	0.050028801	Viral
S390	0.000488173	0.000695812	0.03721714	Viral
S391	0.000325166	9.09E-06	0.000729561	Viral
S392	0.000642274	6.60E-05	0.00268364	Viral
S393	0.000714416	0.000124673	0.004556656	Viral
S394	0.000372034	3.94E-05	0.002768517	Viral
S395	0.00036596	3.85E-05	0.002748489	Viral
S396	0.000276466	4.24E-05	0.004007339	Viral
S397	0.000678277	0.000965337	0.037161827	Viral
S398	0.000236066	3.34E-05	0.003697395	Viral
S399	0.000164657	1.14E-05	0.001811028	Viral
S400	8.39E-05	6.00E-06	0.001865387	Viral
