ID	Genome_size	Taxonomic	Sequence	Kingdom
S535	2.596061707	0.001936957	0.001703717	Bacteria
S536	1.989066124	0.001927482	0.001298979	Bacteria
S537	1.440225601	0.001904484	0.000929331	Bacteria
S538	1.31388092	0.001867552	0.000831364	Bacteria
S539	3.387874603	0.001865015	0.00214078	Bacteria
S540	3.371206284	0.00181855	0.002077175	Bacteria
S541	3.131691933	0.001804996	0.001915216	Bacteria
S542	2.757718086	0.001796865	0.001678912	Bacteria
S543	2.439651489	0.001776588	0.001468511	Bacteria
S544	3.947670937	0.001749722	0.002340305	Bacteria
S545	1.986468315	0.001606128	0.001080997	Bacteria
S546	4.470351219	0.001569813	0.002377672	Bacteria
S547	2.617195129	0.001513853	0.001342402	Bacteria
S548	2.560441971	0.00148882	0.001291575	Bacteria
S549	1.824703217	0.001482355	0.000916446	Bacteria
S550	3.46859169	0.001480829	0.001740286	Bacteria
S551	2.041773796	0.001480146	0.00102394	Bacteria
S552	1.503170013	0.001473792	0.000750597	Bacteria
S553	2.998203278	0.00146144	0.001484583	Bacteria
S554	5.133371353	0.001450106	0.002522116	Bacteria
S555	3.392199516	0.001440772	0.001655919	Bacteria
S556	1.963047981	0.001432711	0.000952911	Bacteria
S557	1.808693886	0.001412439	0.00086556	Bacteria
S558	2.81801796	0.001402468	0.001339058	Bacteria
S559	2.646001816	0.001383694	0.001240489	Bacteria
S560	1.381853104	0.001364064	0.000638645	Bacteria
S561	2.068463326	0.001341914	0.000940449	Bacteria
S562	2.980032921	0.001190745	0.001202271	Bacteria
S563	2.419864655	0.001157518	0.000949033	Bacteria
S564	3.633891106	0.001126867	0.001387417	Bacteria
S565	3.119533539	0.001096095	0.001158512	Bacteria
S566	2.191411972	0.001044963	0.000775867	Bacteria
S567	2.356339455	0.001035336	0.000826574	Bacteria
S568	2.079885483	0.001021126	0.000719583	Bacteria
S569	2.870238304	0.001007675	0.000979943	Bacteria
S570	2.681575775	0.001007628	0.000915489	Bacteria
S571	2.419864655	0.001004753	0.000823784	Bacteria
S572	3.393713951	0.000989431	0.001137688	Bacteria
S573	1.578742027	0.000949689	0.00050799	Bacteria
S574	3.812422752	0.000949348	0.001226278	Bacteria
S575	3.33106041	0.000930344	0.001049998	Bacteria
S576	6.920366287	0.000915867	0.002147455	Bacteria
S577	2.699847221	0.000915498	0.000837451	Bacteria
S578	2.347037315	0.000867353	0.000689729	Bacteria
S579	2.712016106	0.000855798	0.000786369	Bacteria
S580	2.113684654	0.000850445	0.000609044	Bacteria
S581	3.605821609	0.000812212	0.000992284	Bacteria
S582	2.644314766	0.000793269	0.000710716	Bacteria
S583	1.99702549	0.000771711	0.000522156	Bacteria
S584	2.852004051	0.000762372	0.000736682	Bacteria
S585	2.340252876	0.000761086	0.000603474	Bacteria
S586	4.645909309	0.000706866	0.00111268	Bacteria
S587	4.645909309	0.000701645	0.001104461	Bacteria
S588	1.86356926	0.000687262	0.000433941	Bacteria
S589	4.243577957	0.000668439	0.000961074	Bacteria
S590	2.234271049	0.000644875	0.000488173	Bacteria
S591	1.787365913	0.000536944	0.000325166	Bacteria
S592	3.6746521	0.000515872	0.000642274	Bacteria
S593	4.413622856	0.000477742	0.000714416	Bacteria
S594	2.471927643	0.000444206	0.000372034	Bacteria
S595	2.523088455	0.000428094	0.00036596	Bacteria
S596	1.972398758	0.000413699	0.000276466	Bacteria
S597	5.768640518	0.000347033	0.000678277	Bacteria
S598	2.676750183	0.000260294	0.000236066	Bacteria
S599	2.05318737	0.000236694	0.000164657	Bacteria
S600	1.813099861	0.000136656	8.39E-05	Bacteria
