compared_with	profilers	group	distance_BC	distance_rJSD	distance_L1	distance_L2	distance_rAD	distance_Motified_rAD	distance_shared_BC	distance_shared_rJSD	distance_shared_L1	distance_shared_L2
Truth_Sequence_abundance	Bracken	Vaginal4	0.0274984	0.0892663	0.053247874	0.0215784	3.237932514	0.10999887	0.0242309	0.0360288	0.034147877	0.0201549
Truth_Sequence_abundance	Bracken	Vaginal5	0.0503098	0.120687	0.098098301	0.0305503	3.373516617	0.147858846	0.0463066	0.0566996	0.065698302	0.0293015
Truth_Sequence_abundance	Kraken2	Building1	0.0888843	0.184286	0.174592086	0.0595186	2.13803373	0.353360948	0.083071	0.139047	0.135592087	0.0521581
Truth_Sequence_abundance	Kraken2	Building2	0.048407	0.104019	0.084802715	0.02258	2.191035986	0.335859969	0.0471636	0.0885577	0.076702711	0.0225799
Truth_Sequence_abundance	Kraken2	Building3	0.0624658	0.115644	0.106355436	0.0231251	1.887788086	0.66278468	0.0601322	0.093546	0.093955437	0.0228585
Truth_Sequence_abundance	Kraken2	Building4	0.0566677	0.0841164	0.091983779	0.0229294	1.802090345	0.125978381	0.0558659	0.0736558	0.087583772	0.023112
Truth_Sequence_abundance	Kraken2	Building5	0.0923705	0.169855	0.143736417	0.0429694	2.415859543	0.814400659	0.0898316	0.141914	0.120336417	0.0419612
Truth_Sequence_abundance	Kraken2	Gut1	0.108463	0.139197	0.174376303	0.057229	1.406589978	0.684572508	0.105872	0.120139	0.161976301	0.0567692
Truth_Sequence_abundance	Kraken2	Gut2	0.0933103	0.146779	0.14286157	0.036172	1.590311714	0.792869701	0.0919543	0.134216	0.133661571	0.0366511
Truth_Sequence_abundance	Kraken2	Gut3	0.0743743	0.147826	0.102734113	0.0488576	1.624393902	1.183924287	0.074109	0.143531	0.099334111	0.0492801
Truth_Sequence_abundance	Kraken2	Gut4	0.130143	0.182923	0.182175336	0.0655924	1.532037425	0.524614382	0.129273	0.172316	0.172575336	0.06605
Truth_Sequence_abundance	Kraken2	Gut5	0.0658683	0.116304	0.111023822	0.0328292	1.557184502	0.516023944	0.0651364	0.109092	0.106723824	0.0330512
Truth_Sequence_abundance	Kraken2	Oral1	0.0794756	0.108274	0.128496509	0.0334522	1.339454355	0.170796607	0.0784406	0.0964257	0.122196509	0.0336429
Truth_Sequence_abundance	Kraken2	Oral2	0.0424516	0.079679	0.074207234	0.0171643	1.21117282	0.451544629	0.042049	0.075645	0.072507234	0.0173105
Truth_Sequence_abundance	Kraken2	Oral3	0.0856308	0.145549	0.128180917	0.0504239	1.357796043	0.206018317	0.0849362	0.139314	0.123480917	0.0507234
Truth_Sequence_abundance	Kraken2	Oral4	0.0875957	0.103732	0.133519992	0.0406433	1.14627519	0.402201642	0.0867309	0.0950944	0.129119992	0.0407277
Truth_Sequence_abundance	Kraken2	Oral5	0.10024	0.136693	0.148373752	0.0437849	1.453118958	0.401724298	0.099525	0.130264	0.143973753	0.0441921
Truth_Sequence_abundance	Kraken2	Skin1	0.0549504	0.0890121	0.106522016	0.0237736	1.901159632	0.351431573	0.0521489	0.0675412	0.097622017	0.0239076
Truth_Sequence_abundance	Kraken2	Skin2	0.0568355	0.0926669	0.109114858	0.0230371	1.600552455	0.32698036	0.0540646	0.071745	0.100014859	0.0230253
Truth_Sequence_abundance	Kraken2	Skin3	0.0908431	0.141637	0.148026907	0.0664933	2.398679528	0.37885744	0.0899587	0.134592	0.143026903	0.0668642
Truth_Sequence_abundance	Kraken2	Skin4	0.0997772	0.136118	0.170811244	0.0496312	2.005806574	0.391194549	0.0978321	0.123655	0.162711243	0.0497919
Truth_Sequence_abundance	Kraken2	Skin5	0.0401262	0.0842514	0.086409312	0.0180695	1.440868337	0.308270292	0.0382653	0.0700356	0.080509318	0.0182185
Truth_Sequence_abundance	Kraken2	Vaginal1	0.00827189	0.0208329	0.02848197	0.00553911	0.742292661	0.035347326	0.00817344	0.0148417	0.02788197	0.00572049
Truth_Sequence_abundance	Kraken2	Vaginal2	0.0873206	0.111371	0.13625117	0.04985	2.592994694	0.547607122	0.0864058	0.0989607	0.12955117	0.0506202
Truth_Sequence_abundance	Kraken2	Vaginal3	0.0549781	0.10365	0.1161	0.0402425	1.579475006	0.135250161	0.0480207	0.0544277	0.0954	0.039498
Truth_Sequence_abundance	Kraken2	Vaginal4	0.0731464	0.111022	0.1207	0.0454838	3.001561719	0.565704848	0.0710818	0.0891474	0.109200001	0.0462977
Truth_Sequence_abundance	Kraken2	Vaginal5	0.156462	0.180588	0.2289	0.0924955	3.072711169	0.649033046	0.153122	0.162177	0.213699998	0.0931952
Truth_Sequence_abundance	mOTUs2	Building1	0.151242	0.161193	0.302483367	0.0521622	0.174058146	0.405879364	0.14341	0.141725	0.285027098	0.0515079
Truth_Sequence_abundance	mOTUs2	Building2	0.157921	0.165587	0.31584264	0.0561025	0.251873026	0.44241283	0.150369	0.142426	0.294773255	0.0548036
Truth_Sequence_abundance	mOTUs2	Building3	0.159311	0.190701	0.318621756	0.0520287	0.31189196	0.353383623	0.146175	0.147646	0.275647941	0.0496549
Truth_Sequence_abundance	mOTUs2	Building4	0.159668	0.172134	0.319335773	0.0523442	0.334461516	0.321597097	0.145753	0.13648	0.287000725	0.049358
Truth_Sequence_abundance	mOTUs2	Building5	0.143199	0.128274	0.286398464	0.0605722	0.329967934	0.348358361	0.141546	0.121886	0.281692443	0.0604211
Truth_Sequence_abundance	mOTUs2	Gut1	0.124164	0.131597	0.248328415	0.046098	0.159913508	0.35545377	0.120652	0.121655	0.240924524	0.0456334
Truth_Sequence_abundance	mOTUs2	Gut2	0.192644	0.183459	0.385287535	0.076608	0.673926578	0.361187843	0.186336	0.167266	0.368324972	0.0767364
Truth_Sequence_abundance	mOTUs2	Gut3	0.169414	0.165241	0.338828352	0.0881671	0.259313324	0.223702903	0.159771	0.140016	0.316151604	0.0849976
Truth_Sequence_abundance	mOTUs2	Gut4	0.213718	0.235365	0.427435399	0.0890814	0.390458466	0.321341883	0.183024	0.17518	0.354308209	0.0845675
Truth_Sequence_abundance	mOTUs2	Gut5	0.190517	0.228346	0.381034876	0.0812977	0.310714867	0.193597959	0.156225	0.167977	0.31051497	0.0694253
Truth_Sequence_abundance	mOTUs2	Oral1	0.143341	0.154469	0.286682194	0.0476349	0.447275888	0.276883854	0.131225	0.12391	0.261771056	0.0458432
Truth_Sequence_abundance	mOTUs2	Oral2	0.139471	0.147933	0.278943024	0.0505292	0.439873381	0.369853045	0.132014	0.12441	0.260143532	0.0506205
Truth_Sequence_abundance	mOTUs2	Oral3	0.16694	0.159059	0.333879727	0.0626103	0.475451758	0.415409981	0.161547	0.145457	0.321586839	0.0620706
Truth_Sequence_abundance	mOTUs2	Oral4	0.166344	0.179524	0.332688346	0.0566309	0.213118291	0.303331368	0.156116	0.152963	0.306540968	0.0531831
Truth_Sequence_abundance	mOTUs2	Oral5	0.176616	0.192037	0.353231639	0.0771485	0.565248234	0.32249234	0.169103	0.175216	0.334677077	0.0763351
Truth_Sequence_abundance	mOTUs2	Skin1	0.157836	0.150771	0.315672779	0.0546815	0.936320486	0.366924671	0.154382	0.137592	0.304423183	0.0551163
Truth_Sequence_abundance	mOTUs2	Skin2	0.208177	0.219703	0.41635309	0.0999033	0.705655655	0.512820272	0.199225	0.200498	0.391767136	0.101747
Truth_Sequence_abundance	mOTUs2	Skin3	0.201092	0.207432	0.402183122	0.106624	1.325326244	0.524751209	0.194299	0.192333	0.383856698	0.106761
Truth_Sequence_abundance	mOTUs2	Skin4	0.159829	0.148951	0.319657238	0.0575572	0.882429079	0.404085503	0.152751	0.126424	0.301445516	0.0574309
Truth_Sequence_abundance	mOTUs2	Skin5	0.132096	0.134517	0.264191141	0.0524855	0.747542727	0.433060859	0.126933	0.116508	0.250937732	0.0517948
Truth_Sequence_abundance	mOTUs2	Vaginal1	0.15564	0.12742	0.311280055	0.12224	0.315867458	0.657865753	0.15456	0.124507	0.309117929	0.121681
Truth_Sequence_abundance	mOTUs2	Vaginal2	0.181759	0.152703	0.363517532	0.107361	0.772778018	0.479994366	0.181358	0.151643	0.362555558	0.107361
Truth_Sequence_abundance	mOTUs2	Vaginal3	0.208726	0.169642	0.417451109	0.126688	0.922791706	0.431730217	0.207718	0.167494	0.415280655	0.126783
Truth_Sequence_abundance	mOTUs2	Vaginal4	0.124594	0.115616	0.24918815	0.0693216	1.114471135	0.603398118	0.124289	0.113676	0.247880181	0.0693655
Truth_Sequence_abundance	mOTUs2	Vaginal5	0.192366	0.168965	0.384733028	0.110422	0.895400775	0.488605262	0.191478	0.16639	0.382144416	0.110575
Truth_Sequence_abundance	MPA2	Building1	0.199573	0.185487	0.399146129	0.0957583	1.233203782	0.237201673	0.194808	0.170924	0.383533127	0.0940827
Truth_Sequence_abundance	MPA2	Building2	0.124333	0.114648	0.248665788	0.0472389	0.423176069	0.372974132	0.123824	0.112575	0.247281685	0.0472184
Truth_Sequence_abundance	MPA2	Building3	0.128113	0.120149	0.256225312	0.0421873	0.768591553	0.259946883	0.126371	0.113349	0.251559007	0.0423142
Truth_Sequence_abundance	MPA2	Building4	0.132433	0.118562	0.264865865	0.0480012	1.181900994	0.324865236	0.131549	0.115078	0.262472166	0.0479587
Truth_Sequence_abundance	MPA2	Building5	0.148581	0.148321	0.297161226	0.0644772	0.946377024	0.246574584	0.145514	0.138094	0.288473223	0.0640977
Truth_Sequence_abundance	MPA2	Gut1	0.169386	0.1648	0.338772485	0.0848496	1.373012166	0.6906919	0.156918	0.13505	0.312584287	0.0833727
Truth_Sequence_abundance	MPA2	Gut2	0.17905	0.179732	0.358100071	0.0730045	1.125527809	0.583593639	0.176346	0.171137	0.349024167	0.0735552
Truth_Sequence_abundance	MPA2	Gut3	0.186278	0.188377	0.372556444	0.0914524	1.633202752	0.806866227	0.178606	0.169891	0.352679645	0.0904246
Truth_Sequence_abundance	MPA2	Gut4	0.156831	0.178306	0.313662747	0.0667004	1.480016543	0.46305859	0.145493	0.145935	0.282638642	0.0634212
Truth_Sequence_abundance	MPA2	Gut5	0.159896	0.162511	0.319791696	0.071998	1.388053375	0.395664677	0.153709	0.144951	0.303785898	0.0734931
Truth_Sequence_abundance	MPA2	Oral1	0.128649	0.153752	0.257297722	0.052634	0.862820666	0.595523096	0.12283	0.129209	0.236838323	0.0537221
Truth_Sequence_abundance	MPA2	Oral2	0.115923	0.12934	0.231846425	0.0454115	1.103118489	0.802430746	0.114004	0.121842	0.226287826	0.0455872
Truth_Sequence_abundance	MPA2	Oral3	0.152768	0.16123	0.305536589	0.0624469	1.054291652	0.551342468	0.14176	0.128982	0.278101489	0.0593762
Truth_Sequence_abundance	MPA2	Oral4	0.132797	0.126346	0.265593431	0.0458528	1.014999863	0.559585388	0.130071	0.116572	0.258614032	0.0459597
Truth_Sequence_abundance	MPA2	Oral5	0.143738	0.156485	0.287475047	0.0527756	1.119179575	0.52734719	0.12946	0.121472	0.259044047	0.0486027
Truth_Sequence_abundance	MPA2	Skin1	0.156541	0.137188	0.313081226	0.0663667	0.960706734	0.497634147	0.156081	0.13549	0.311706829	0.0664062
Truth_Sequence_abundance	MPA2	Skin2	0.173484	0.194634	0.346967765	0.099946	1.232669238	0.653869927	0.170654	0.184525	0.335272365	0.100016
Truth_Sequence_abundance	MPA2	Skin3	0.122771	0.118603	0.245542389	0.0664156	0.812541486	0.665389729	0.121833	0.114171	0.242507985	0.0665405
Truth_Sequence_abundance	MPA2	Skin4	0.163923	0.161753	0.327846837	0.0616753	1.752109638	0.761810102	0.159187	0.146206	0.313621939	0.061387
Truth_Sequence_abundance	MPA2	Skin5	0.111675	0.103092	0.223350874	0.0471134	0.406068301	0.510489422	0.111078	0.100486	0.221797274	0.0470437
Truth_Sequence_abundance	MPA2	Vaginal1	0.107201	0.101406	0.214402974	0.0701412	1.625116732	0.614261913	0.106089	0.0981352	0.212494074	0.0696733
Truth_Sequence_abundance	MPA2	Vaginal2	0.147327	0.141556	0.294653226	0.0821168	0.360285105	0.682439845	0.145617	0.135588	0.289751524	0.0819194
Truth_Sequence_abundance	MPA2	Vaginal3	0.14828	0.133996	0.296559163	0.0922986	1.521323099	0.672086536	0.148261	0.133931	0.296507464	0.0923013
Truth_Sequence_abundance	MPA2	Vaginal4	0.0978825	0.0958091	0.195764948	0.0514826	1.038784842	0.639321258	0.0977246	0.0949297	0.195274249	0.051492
Truth_Sequence_abundance	MPA2	Vaginal5	0.248327	0.250505	0.496654865	0.13933	0.869231042	0.726036304	0.235632	0.226099	0.460699966	0.136534
Truth_Taxonomic_abundance	Bracken	Building1	0.149619	0.1886	0.299288443	0.0566709	2.284202633	0.58767439	0.127028	0.139279	0.252288437	0.0530113
Truth_Taxonomic_abundance	Bracken	Building2	0.139405	0.155195	0.278335061	0.0542957	2.54849075	0.706215157	0.13486	0.143541	0.26803506	0.0548302
Truth_Taxonomic_abundance	Bracken	Building3	0.141833	0.148397	0.283621854	0.045928	2.047857151	0.796036134	0.133468	0.127986	0.267121851	0.0456748
Truth_Taxonomic_abundance	Bracken	Building4	0.139719	0.132604	0.27898228	0.04917	2.101205625	0.429351998	0.136527	0.123117	0.271882286	0.0495977
Truth_Taxonomic_abundance	Bracken	Building5	0.160218	0.186864	0.320712125	0.0699726	2.5773186	0.868887271	0.144982	0.157467	0.290812123	0.0713622
Truth_Taxonomic_abundance	Bracken	Gut1	0.169215	0.170051	0.338404475	0.0776413	2.042903174	0.904469632	0.161076	0.153143	0.32220448	0.0768974
Truth_Taxonomic_abundance	Bracken	Gut2	0.187058	0.191478	0.3738593	0.0672157	2.025818422	0.92442276	0.180548	0.17918	0.360159303	0.0673514
Truth_Taxonomic_abundance	Bracken	Gut3	0.170775	0.172152	0.341452589	0.101668	1.808090101	1.072042964	0.16829	0.167243	0.336452592	0.102504
Truth_Taxonomic_abundance	Bracken	Gut4	0.170789	0.182473	0.340540359	0.0669697	1.691727272	0.740423235	0.16458	0.169441	0.32684036	0.0668506
Truth_Taxonomic_abundance	Bracken	Gut5	0.142088	0.146443	0.284170367	0.0599786	1.806518565	0.737685578	0.139004	0.139215	0.278070367	0.059841
Truth_Taxonomic_abundance	Bracken	Oral1	0.11864	0.127138	0.23770259	0.0444219	1.636856592	0.307290427	0.114192	0.115882	0.229702589	0.0442637
Truth_Taxonomic_abundance	Bracken	Oral2	0.11477	0.120522	0.228699698	0.0423202	1.606929042	0.454858057	0.113386	0.115463	0.225199695	0.0424397
Truth_Taxonomic_abundance	Bracken	Oral3	0.159971	0.190126	0.319329234	0.0853663	1.556385181	0.535492758	0.156774	0.18389	0.312229233	0.0859511
Truth_Taxonomic_abundance	Bracken	Oral4	0.139891	0.12877	0.279720056	0.0479436	1.133771282	0.317065072	0.136175	0.118404	0.272220055	0.0482709
Truth_Taxonomic_abundance	Bracken	Oral5	0.143307	0.151001	0.286244597	0.0503934	1.664506127	0.406437619	0.138605	0.139455	0.276344599	0.0511065
Truth_Taxonomic_abundance	Bracken	Skin1	0.125296	0.129157	0.251561604	0.0458954	1.862311042	0.471554786	0.116934	0.108424	0.237261607	0.0461054
Truth_Taxonomic_abundance	Bracken	Skin2	0.118417	0.120227	0.237003159	0.0509097	1.805118749	0.390954388	0.111528	0.0984688	0.223203161	0.0502619
Truth_Taxonomic_abundance	Bracken	Skin3	0.0863294	0.113712	0.173197729	0.0407002	2.5829581	0.383568236	0.0779284	0.0847639	0.156597729	0.0402973
Truth_Taxonomic_abundance	Bracken	Skin4	0.156778	0.153203	0.313793813	0.0594888	2.149555208	0.448749276	0.147409	0.13187	0.29599381	0.0601797
Truth_Taxonomic_abundance	Bracken	Skin5	0.123158	0.119392	0.245911963	0.0540869	1.537702937	0.394924203	0.118214	0.102497	0.235011962	0.0552563
Truth_Taxonomic_abundance	Bracken	Vaginal1	0.120379	0.105078	0.240227764	0.0868819	1.132377907	0.619108765	0.120119	0.10377	0.239427764	0.087162
Truth_Taxonomic_abundance	Bracken	Vaginal2	0.174159	0.162475	0.348279882	0.102546	2.837832307	0.594451203	0.167975	0.149141	0.335979879	0.103906
Truth_Taxonomic_abundance	Bracken	Vaginal3	0.186147	0.171262	0.372344125	0.110677	1.751983567	0.335550202	0.174143	0.146358	0.349044123	0.11148
Truth_Taxonomic_abundance	Bracken	Vaginal4	0.107659	0.122018	0.2159316	0.055327	3.298355478	0.513855763	0.0974919	0.0910133	0.196831602	0.055222
Truth_Taxonomic_abundance	Bracken	Vaginal5	0.2086	0.201437	0.416795889	0.111075	3.387558952	0.563761892	0.193486	0.172284	0.38439589	0.11238
Truth_Taxonomic_abundance	Kraken2	Building1	0.151465	0.188727	0.302788161	0.0571088	2.355968077	0.70427011	0.132702	0.144736	0.263788155	0.0523737
Truth_Taxonomic_abundance	Kraken2	Building2	0.142903	0.156359	0.282705571	0.0561899	2.451579045	0.712183513	0.139189	0.146733	0.27460557	0.0566769
Truth_Taxonomic_abundance	Kraken2	Building3	0.145165	0.154194	0.296086566	0.050605	2.13706891	1.016966423	0.138729	0.138623	0.283686563	0.0504632
Truth_Taxonomic_abundance	Kraken2	Building4	0.153302	0.147786	0.304704406	0.0578633	2.063139215	0.480571492	0.151354	0.142214	0.300304414	0.0581947
Truth_Taxonomic_abundance	Kraken2	Building5	0.168996	0.192516	0.343308135	0.0758252	2.597332945	1.159212268	0.156706	0.1686	0.319908133	0.0772563
Truth_Taxonomic_abundance	Kraken2	Gut1	0.171578	0.177226	0.354879427	0.075222	1.469895367	1.028782575	0.164001	0.162964	0.34247943	0.0745939
Truth_Taxonomic_abundance	Kraken2	Gut2	0.183723	0.191061	0.373140916	0.0668861	1.605331547	1.042741589	0.178705	0.181786	0.363940921	0.0670354
Truth_Taxonomic_abundance	Kraken2	Gut3	0.174291	0.176463	0.348215839	0.104425	1.637575922	1.434262596	0.172518	0.172915	0.34481584	0.105085
Truth_Taxonomic_abundance	Kraken2	Gut4	0.159771	0.176935	0.332785354	0.0628609	1.5334051	0.741929101	0.154217	0.165822	0.323185354	0.0627383
Truth_Taxonomic_abundance	Kraken2	Gut5	0.138729	0.1426	0.281965034	0.0586542	1.614171747	0.720039906	0.136541	0.136827	0.277665035	0.0585562
Truth_Taxonomic_abundance	Kraken2	Oral1	0.111166	0.125129	0.24589761	0.0388362	1.535615113	0.155314658	0.107463	0.11508	0.239597609	0.0386841
Truth_Taxonomic_abundance	Kraken2	Oral2	0.121069	0.126155	0.23435684	0.0436241	1.372204081	0.768852795	0.120436	0.123682	0.232656835	0.0437126
Truth_Taxonomic_abundance	Kraken2	Oral3	0.167808	0.193107	0.330087416	0.0896354	1.494738408	0.448946226	0.165652	0.188576	0.325387415	0.0901265
Truth_Taxonomic_abundance	Kraken2	Oral4	0.138747	0.136421	0.291172382	0.0470165	1.266700341	0.607250142	0.136563	0.130045	0.286772381	0.0472107
Truth_Taxonomic_abundance	Kraken2	Oral5	0.152239	0.171413	0.297679479	0.0600428	1.6040735	0.580113414	0.15046	0.166421	0.293279481	0.060549
Truth_Taxonomic_abundance	Kraken2	Skin1	0.121809	0.130247	0.26025435	0.0469288	1.973005885	0.652345606	0.117557	0.116818	0.251354353	0.0472323
Truth_Taxonomic_abundance	Kraken2	Skin2	0.126267	0.130191	0.256464748	0.0521834	1.672012498	0.611051756	0.121313	0.116411	0.247364751	0.0518516
Truth_Taxonomic_abundance	Kraken2	Skin3	0.129903	0.166305	0.239559191	0.0820808	2.440279074	0.673007971	0.128286	0.160422	0.234559191	0.0823784
Truth_Taxonomic_abundance	Kraken2	Skin4	0.154846	0.177325	0.326811328	0.0718319	2.080658315	0.748216665	0.150064	0.168142	0.318711324	0.0722624
Truth_Taxonomic_abundance	Kraken2	Skin5	0.124928	0.130771	0.242873828	0.0551732	1.513611677	0.590365153	0.122325	0.122234	0.236973828	0.0558704
Truth_Taxonomic_abundance	Kraken2	Vaginal1	0.122623	0.10675	0.236441201	0.0882411	0.85692659	0.633634524	0.122425	0.105761	0.235841202	0.0884616
Truth_Taxonomic_abundance	Kraken2	Vaginal2	0.176341	0.171691	0.359643321	0.117134	2.628332626	0.981779772	0.173626	0.164115	0.352943319	0.118175
Truth_Taxonomic_abundance	Kraken2	Vaginal3	0.18091	0.168432	0.364315685	0.114259	1.711922038	0.259662301	0.170223	0.144184	0.343615683	0.115267
Truth_Taxonomic_abundance	Kraken2	Vaginal4	0.0982853	0.118477	0.214798964	0.0558802	3.082334664	0.991889414	0.0925109	0.0983181	0.203298964	0.056648
Truth_Taxonomic_abundance	Kraken2	Vaginal5	0.201595	0.230327	0.419406281	0.121288	3.107770224	1.076183641	0.194277	0.216685	0.404206282	0.12227
Truth_Taxonomic_abundance	mOTUs2	Building1	0.0938203	0.128469	0.187640683	0.0440785	0.351537731	0.17894508	0.0891302	0.102594	0.17018441	0.044563
Truth_Taxonomic_abundance	mOTUs2	Building2	0.0677082	0.116866	0.135416248	0.0269991	0.476489612	0.033164842	0.0616026	0.0798925	0.114346854	0.0247137
Truth_Taxonomic_abundance	mOTUs2	Building3	0.0860948	0.165571	0.172189676	0.0349867	0.473297565	0.145366891	0.0722686	0.112473	0.129215855	0.0286067
Truth_Taxonomic_abundance	mOTUs2	Building4	0.0648785	0.134809	0.129756984	0.0239821	0.492427173	0.107881483	0.053917	0.083551	0.097421929	0.0176951
Truth_Taxonomic_abundance	mOTUs2	Building5	0.0390327	0.0634711	0.078065363	0.0122214	0.519442793	0.133242639	0.0378373	0.048999	0.073359349	0.0122537
Truth_Taxonomic_abundance	mOTUs2	Gut1	0.097758	0.100266	0.195516099	0.0668314	0.192063571	0.132577399	0.0958234	0.0866669	0.188112211	0.066351
Truth_Taxonomic_abundance	mOTUs2	Gut2	0.0719551	0.10951	0.143910325	0.0312375	0.643865886	0.156769034	0.0675683	0.0783354	0.126947758	0.0288478
Truth_Taxonomic_abundance	mOTUs2	Gut3	0.0687581	0.107577	0.1375162	0.036407	0.251110943	0.099124105	0.0606746	0.0607727	0.114839447	0.0320163
Truth_Taxonomic_abundance	mOTUs2	Gut4	0.128128	0.198958	0.256256841	0.0628411	0.423211288	0.160256063	0.107233	0.11921	0.183129655	0.048621
Truth_Taxonomic_abundance	mOTUs2	Gut5	0.150995	0.207337	0.301989029	0.0948683	0.285352297	0.168797222	0.131485	0.136877	0.231469119	0.0824675
Truth_Taxonomic_abundance	mOTUs2	Oral1	0.110608	0.141295	0.221215992	0.0494623	0.521565993	0.125113869	0.103363	0.106835	0.196304848	0.0467516
Truth_Taxonomic_abundance	mOTUs2	Oral2	0.0813934	0.123006	0.162786913	0.0343393	0.616101454	0.087029658	0.0764266	0.093086	0.143987421	0.03405
Truth_Taxonomic_abundance	mOTUs2	Oral3	0.0969829	0.125994	0.193965786	0.0384856	0.646555304	0.269145863	0.0937198	0.108068	0.181672903	0.0380802
Truth_Taxonomic_abundance	mOTUs2	Oral4	0.0962784	0.156628	0.192556729	0.0400867	0.33801325	0.098779137	0.0884534	0.124934	0.166409353	0.0350876
Truth_Taxonomic_abundance	mOTUs2	Oral5	0.134246	0.177492	0.2684915	0.0798028	0.736620461	0.211171062	0.12969	0.159032	0.249936933	0.079452
Truth_Taxonomic_abundance	mOTUs2	Skin1	0.0831556	0.109006	0.166311121	0.0326348	0.987174715	0.0751273	0.0795643	0.0895486	0.155061517	0.0331347
Truth_Taxonomic_abundance	mOTUs2	Skin2	0.138555	0.195479	0.277109137	0.0727176	0.781347297	0.330561563	0.131294	0.173266	0.252523184	0.0734922
Truth_Taxonomic_abundance	mOTUs2	Skin3	0.157668	0.188811	0.315336053	0.0946505	1.355579106	0.341189469	0.151887	0.17189	0.297009632	0.0943296
Truth_Taxonomic_abundance	mOTUs2	Skin4	0.0579204	0.0966769	0.115840814	0.0222189	0.957042692	0.026935301	0.0515897	0.0549753	0.097629091	0.0215691
