ID	Distance	Compared_with	Profilers	SampleID	Colour	Matrix
S059	0.213718	Truth_Sequence_abundance	mOTUs2	Gut4	Gut	BC
S060	0.190517	Truth_Sequence_abundance	mOTUs2	Gut5	Gut	BC
S061	0.143341	Truth_Sequence_abundance	mOTUs2	Oral1	Oral	BC
S062	0.139471	Truth_Sequence_abundance	mOTUs2	Oral2	Oral	BC
S063	0.16694	Truth_Sequence_abundance	mOTUs2	Oral3	Oral	BC
S064	0.166344	Truth_Sequence_abundance	mOTUs2	Oral4	Oral	BC
S065	0.176616	Truth_Sequence_abundance	mOTUs2	Oral5	Oral	BC
S066	0.157836	Truth_Sequence_abundance	mOTUs2	Skin1	Skin	BC
S067	0.208177	Truth_Sequence_abundance	mOTUs2	Skin2	Skin	BC
S068	0.201092	Truth_Sequence_abundance	mOTUs2	Skin3	Skin	BC
S069	0.159829	Truth_Sequence_abundance	mOTUs2	Skin4	Skin	BC
S070	0.132096	Truth_Sequence_abundance	mOTUs2	Skin5	Skin	BC
S071	0.15564	Truth_Sequence_abundance	mOTUs2	Vaginal1	Vaginal	BC
S072	0.181759	Truth_Sequence_abundance	mOTUs2	Vaginal2	Vaginal	BC
S073	0.208726	Truth_Sequence_abundance	mOTUs2	Vaginal3	Vaginal	BC
S074	0.124594	Truth_Sequence_abundance	mOTUs2	Vaginal4	Vaginal	BC
S075	0.192366	Truth_Sequence_abundance	mOTUs2	Vaginal5	Vaginal	BC
S076	0.199573	Truth_Sequence_abundance	MPA2	Building1	Building	BC
S077	0.124333	Truth_Sequence_abundance	MPA2	Building2	Building	BC
S078	0.128113	Truth_Sequence_abundance	MPA2	Building3	Building	BC
S079	0.132433	Truth_Sequence_abundance	MPA2	Building4	Building	BC
S080	0.148581	Truth_Sequence_abundance	MPA2	Building5	Building	BC
S081	0.169386	Truth_Sequence_abundance	MPA2	Gut1	Gut	BC
S082	0.17905	Truth_Sequence_abundance	MPA2	Gut2	Gut	BC
S083	0.186278	Truth_Sequence_abundance	MPA2	Gut3	Gut	BC
S084	0.156831	Truth_Sequence_abundance	MPA2	Gut4	Gut	BC
S085	0.159896	Truth_Sequence_abundance	MPA2	Gut5	Gut	BC
S086	0.128649	Truth_Sequence_abundance	MPA2	Oral1	Oral	BC
S087	0.115923	Truth_Sequence_abundance	MPA2	Oral2	Oral	BC
S088	0.152768	Truth_Sequence_abundance	MPA2	Oral3	Oral	BC
S089	0.132797	Truth_Sequence_abundance	MPA2	Oral4	Oral	BC
S090	0.143738	Truth_Sequence_abundance	MPA2	Oral5	Oral	BC
S091	0.156541	Truth_Sequence_abundance	MPA2	Skin1	Skin	BC
S092	0.173484	Truth_Sequence_abundance	MPA2	Skin2	Skin	BC
S093	0.122771	Truth_Sequence_abundance	MPA2	Skin3	Skin	BC
S094	0.163923	Truth_Sequence_abundance	MPA2	Skin4	Skin	BC
S095	0.111675	Truth_Sequence_abundance	MPA2	Skin5	Skin	BC
S096	0.107201	Truth_Sequence_abundance	MPA2	Vaginal1	Vaginal	BC
S097	0.147327	Truth_Sequence_abundance	MPA2	Vaginal2	Vaginal	BC
S098	0.14828	Truth_Sequence_abundance	MPA2	Vaginal3	Vaginal	BC
S099	0.0978825	Truth_Sequence_abundance	MPA2	Vaginal4	Vaginal	BC
S100	0.248327	Truth_Sequence_abundance	MPA2	Vaginal5	Vaginal	BC
S101	0.149619	Truth_Taxonomic_abundance	Bracken	Building1	Building	BC
S102	0.139405	Truth_Taxonomic_abundance	Bracken	Building2	Building	BC
S103	0.141833	Truth_Taxonomic_abundance	Bracken	Building3	Building	BC
S104	0.139719	Truth_Taxonomic_abundance	Bracken	Building4	Building	BC
S105	0.160218	Truth_Taxonomic_abundance	Bracken	Building5	Building	BC
S106	0.169215	Truth_Taxonomic_abundance	Bracken	Gut1	Gut	BC
S107	0.187058	Truth_Taxonomic_abundance	Bracken	Gut2	Gut	BC
S108	0.170775	Truth_Taxonomic_abundance	Bracken	Gut3	Gut	BC
S109	0.170789	Truth_Taxonomic_abundance	Bracken	Gut4	Gut	BC
S110	0.142088	Truth_Taxonomic_abundance	Bracken	Gut5	Gut	BC
S111	0.11864	Truth_Taxonomic_abundance	Bracken	Oral1	Oral	BC
S112	0.11477	Truth_Taxonomic_abundance	Bracken	Oral2	Oral	BC
S113	0.159971	Truth_Taxonomic_abundance	Bracken	Oral3	Oral	BC
S114	0.139891	Truth_Taxonomic_abundance	Bracken	Oral4	Oral	BC
S115	0.143307	Truth_Taxonomic_abundance	Bracken	Oral5	Oral	BC
S116	0.125296	Truth_Taxonomic_abundance	Bracken	Skin1	Skin	BC
S117	0.118417	Truth_Taxonomic_abundance	Bracken	Skin2	Skin	BC
S118	0.0863294	Truth_Taxonomic_abundance	Bracken	Skin3	Skin	BC
S119	0.156778	Truth_Taxonomic_abundance	Bracken	Skin4	Skin	BC
S120	0.123158	Truth_Taxonomic_abundance	Bracken	Skin5	Skin	BC
S121	0.120379	Truth_Taxonomic_abundance	Bracken	Vaginal1	Vaginal	BC
S122	0.174159	Truth_Taxonomic_abundance	Bracken	Vaginal2	Vaginal	BC
S123	0.186147	Truth_Taxonomic_abundance	Bracken	Vaginal3	Vaginal	BC
S124	0.107659	Truth_Taxonomic_abundance	Bracken	Vaginal4	Vaginal	BC
S125	0.2086	Truth_Taxonomic_abundance	Bracken	Vaginal5	Vaginal	BC
S126	0.151465	Truth_Taxonomic_abundance	Kraken2	Building1	Building	BC
S127	0.142903	Truth_Taxonomic_abundance	Kraken2	Building2	Building	BC
S128	0.145165	Truth_Taxonomic_abundance	Kraken2	Building3	Building	BC
S129	0.153302	Truth_Taxonomic_abundance	Kraken2	Building4	Building	BC
S130	0.168996	Truth_Taxonomic_abundance	Kraken2	Building5	Building	BC
S131	0.171578	Truth_Taxonomic_abundance	Kraken2	Gut1	Gut	BC
S132	0.183723	Truth_Taxonomic_abundance	Kraken2	Gut2	Gut	BC
S133	0.174291	Truth_Taxonomic_abundance	Kraken2	Gut3	Gut	BC
S134	0.159771	Truth_Taxonomic_abundance	Kraken2	Gut4	Gut	BC
S135	0.138729	Truth_Taxonomic_abundance	Kraken2	Gut5	Gut	BC
S136	0.111166	Truth_Taxonomic_abundance	Kraken2	Oral1	Oral	BC
S137	0.121069	Truth_Taxonomic_abundance	Kraken2	Oral2	Oral	BC
S138	0.167808	Truth_Taxonomic_abundance	Kraken2	Oral3	Oral	BC
S139	0.138747	Truth_Taxonomic_abundance	Kraken2	Oral4	Oral	BC
S140	0.152239	Truth_Taxonomic_abundance	Kraken2	Oral5	Oral	BC
S141	0.121809	Truth_Taxonomic_abundance	Kraken2	Skin1	Skin	BC
S142	0.126267	Truth_Taxonomic_abundance	Kraken2	Skin2	Skin	BC
S143	0.129903	Truth_Taxonomic_abundance	Kraken2	Skin3	Skin	BC
S144	0.154846	Truth_Taxonomic_abundance	Kraken2	Skin4	Skin	BC
S145	0.124928	Truth_Taxonomic_abundance	Kraken2	Skin5	Skin	BC
S146	0.122623	Truth_Taxonomic_abundance	Kraken2	Vaginal1	Vaginal	BC
S147	0.176341	Truth_Taxonomic_abundance	Kraken2	Vaginal2	Vaginal	BC
S148	0.18091	Truth_Taxonomic_abundance	Kraken2	Vaginal3	Vaginal	BC
S149	0.0982853	Truth_Taxonomic_abundance	Kraken2	Vaginal4	Vaginal	BC
S150	0.201595	Truth_Taxonomic_abundance	Kraken2	Vaginal5	Vaginal	BC
S151	0.0938203	Truth_Taxonomic_abundance	mOTUs2	Building1	Building	BC
S152	0.0677082	Truth_Taxonomic_abundance	mOTUs2	Building2	Building	BC
S153	0.0860948	Truth_Taxonomic_abundance	mOTUs2	Building3	Building	BC
S154	0.0648785	Truth_Taxonomic_abundance	mOTUs2	Building4	Building	BC
S155	0.0390327	Truth_Taxonomic_abundance	mOTUs2	Building5	Building	BC
S156	0.097758	Truth_Taxonomic_abundance	mOTUs2	Gut1	Gut	BC
S157	0.0719551	Truth_Taxonomic_abundance	mOTUs2	Gut2	Gut	BC
S158	0.0687581	Truth_Taxonomic_abundance	mOTUs2	Gut3	Gut	BC
S159	0.128128	Truth_Taxonomic_abundance	mOTUs2	Gut4	Gut	BC
S160	0.150995	Truth_Taxonomic_abundance	mOTUs2	Gut5	Gut	BC
S161	0.110608	Truth_Taxonomic_abundance	mOTUs2	Oral1	Oral	BC
S162	0.0813934	Truth_Taxonomic_abundance	mOTUs2	Oral2	Oral	BC
S163	0.0969829	Truth_Taxonomic_abundance	mOTUs2	Oral3	Oral	BC
S164	0.0962784	Truth_Taxonomic_abundance	mOTUs2	Oral4	Oral	BC
S165	0.134246	Truth_Taxonomic_abundance	mOTUs2	Oral5	Oral	BC
S166	0.0831556	Truth_Taxonomic_abundance	mOTUs2	Skin1	Skin	BC
S167	0.138555	Truth_Taxonomic_abundance	mOTUs2	Skin2	Skin	BC
S168	0.157668	Truth_Taxonomic_abundance	mOTUs2	Skin3	Skin	BC
S169	0.0579204	Truth_Taxonomic_abundance	mOTUs2	Skin4	Skin	BC
S170	0.060425	Truth_Taxonomic_abundance	mOTUs2	Skin5	Skin	BC
S171	0.0581648	Truth_Taxonomic_abundance	mOTUs2	Vaginal1	Vaginal	BC
S172	0.0504068	Truth_Taxonomic_abundance	mOTUs2	Vaginal2	Vaginal	BC
S173	0.119304	Truth_Taxonomic_abundance	mOTUs2	Vaginal3	Vaginal	BC
S174	0.0423285	Truth_Taxonomic_abundance	mOTUs2	Vaginal4	Vaginal	BC
S175	0.0323231	Truth_Taxonomic_abundance	mOTUs2	Vaginal5	Vaginal	BC
S176	0.10309	Truth_Taxonomic_abundance	MPA2	Building1	Building	BC
S177	0.039946	Truth_Taxonomic_abundance	MPA2	Building2	Building	BC
S178	0.0421111	Truth_Taxonomic_abundance	MPA2	Building3	Building	BC
S179	0.0295914	Truth_Taxonomic_abundance	MPA2	Building4	Building	BC
S180	0.0374693	Truth_Taxonomic_abundance	MPA2	Building5	Building	BC
S181	0.0525778	Truth_Taxonomic_abundance	MPA2	Gut1	Gut	BC
S182	0.0739559	Truth_Taxonomic_abundance	MPA2	Gut2	Gut	BC
S183	0.0842609	Truth_Taxonomic_abundance	MPA2	Gut3	Gut	BC
S184	0.0737312	Truth_Taxonomic_abundance	MPA2	Gut4	Gut	BC
S185	0.0483583	Truth_Taxonomic_abundance	MPA2	Gut5	Gut	BC
S186	0.0668102	Truth_Taxonomic_abundance	MPA2	Oral1	Oral	BC
S187	0.0580954	Truth_Taxonomic_abundance	MPA2	Oral2	Oral	BC
S188	0.072397	Truth_Taxonomic_abundance	MPA2	Oral3	Oral	BC
S189	0.0520029	Truth_Taxonomic_abundance	MPA2	Oral4	Oral	BC
S190	0.0866466	Truth_Taxonomic_abundance	MPA2	Oral5	Oral	BC
S191	0.0788619	Truth_Taxonomic_abundance	MPA2	Skin1	Skin	BC
S192	0.175916	Truth_Taxonomic_abundance	MPA2	Skin2	Skin	BC
S193	0.0731683	Truth_Taxonomic_abundance	MPA2	Skin3	Skin	BC
S194	0.082776	Truth_Taxonomic_abundance	MPA2	Skin4	Skin	BC
S195	0.0372852	Truth_Taxonomic_abundance	MPA2	Skin5	Skin	BC
S196	0.0308967	Truth_Taxonomic_abundance	MPA2	Vaginal1	Vaginal	BC
S197	0.0486877	Truth_Taxonomic_abundance	MPA2	Vaginal2	Vaginal	BC
S198	0.0443071	Truth_Taxonomic_abundance	MPA2	Vaginal3	Vaginal	BC
S199	0.0295142	Truth_Taxonomic_abundance	MPA2	Vaginal4	Vaginal	BC
S200	0.167718	Truth_Taxonomic_abundance	MPA2	Vaginal5	Vaginal	BC
S201	0.181758	Truth_Sequence_abundance	Bracken	Building1	Building	rJSD
S202	0.101549	Truth_Sequence_abundance	Bracken	Building2	Building	rJSD
S203	0.109439	Truth_Sequence_abundance	Bracken	Building3	Building	rJSD
S204	0.0684147	Truth_Sequence_abundance	Bracken	Building4	Building	rJSD
S205	0.165042	Truth_Sequence_abundance	Bracken	Building5	Building	rJSD
S206	0.126633	Truth_Sequence_abundance	Bracken	Gut1	Gut	rJSD
S207	0.141137	Truth_Sequence_abundance	Bracken	Gut2	Gut	rJSD
S208	0.142787	Truth_Sequence_abundance	Bracken	Gut3	Gut	rJSD
S209	0.17612	Truth_Sequence_abundance	Bracken	Gut4	Gut	rJSD
S210	0.1117	Truth_Sequence_abundance	Bracken	Gut5	Gut	rJSD
S211	0.0865343	Truth_Sequence_abundance	Bracken	Oral1	Oral	rJSD
S212	0.073382	Truth_Sequence_abundance	Bracken	Oral2	Oral	rJSD
S213	0.140247	Truth_Sequence_abundance	Bracken	Oral3	Oral	rJSD
S214	0.067939	Truth_Sequence_abundance	Bracken	Oral4	Oral	rJSD
S215	0.103839	Truth_Sequence_abundance	Bracken	Oral5	Oral	rJSD
S216	0.0814495	Truth_Sequence_abundance	Bracken	Skin1	Skin	rJSD
S217	0.0785041	Truth_Sequence_abundance	Bracken	Skin2	Skin	rJSD
S218	0.0826904	Truth_Sequence_abundance	Bracken	Skin3	Skin	rJSD
S219	0.0911647	Truth_Sequence_abundance	Bracken	Skin4	Skin	rJSD
S220	0.0687922	Truth_Sequence_abundance	Bracken	Skin5	Skin	rJSD
S221	0.0171565	Truth_Sequence_abundance	Bracken	Vaginal1	Vaginal	rJSD
S222	0.0824868	Truth_Sequence_abundance	Bracken	Vaginal2	Vaginal	rJSD
S223	0.0968071	Truth_Sequence_abundance	Bracken	Vaginal3	Vaginal	rJSD
S224	0.0892663	Truth_Sequence_abundance	Bracken	Vaginal4	Vaginal	rJSD
S225	0.120687	Truth_Sequence_abundance	Bracken	Vaginal5	Vaginal	rJSD
S226	0.184286	Truth_Sequence_abundance	Kraken2	Building1	Building	rJSD
S227	0.104019	Truth_Sequence_abundance	Kraken2	Building2	Building	rJSD
S228	0.115644	Truth_Sequence_abundance	Kraken2	Building3	Building	rJSD
S229	0.0841164	Truth_Sequence_abundance	Kraken2	Building4	Building	rJSD
S230	0.169855	Truth_Sequence_abundance	Kraken2	Building5	Building	rJSD
S231	0.139197	Truth_Sequence_abundance	Kraken2	Gut1	Gut	rJSD
S232	0.146779	Truth_Sequence_abundance	Kraken2	Gut2	Gut	rJSD
S233	0.147826	Truth_Sequence_abundance	Kraken2	Gut3	Gut	rJSD
S234	0.182923	Truth_Sequence_abundance	Kraken2	Gut4	Gut	rJSD
S235	0.116304	Truth_Sequence_abundance	Kraken2	Gut5	Gut	rJSD
S236	0.108274	Truth_Sequence_abundance	Kraken2	Oral1	Oral	rJSD
S237	0.079679	Truth_Sequence_abundance	Kraken2	Oral2	Oral	rJSD
S238	0.145549	Truth_Sequence_abundance	Kraken2	Oral3	Oral	rJSD
S239	0.103732	Truth_Sequence_abundance	Kraken2	Oral4	Oral	rJSD
S240	0.136693	Truth_Sequence_abundance	Kraken2	Oral5	Oral	rJSD
S241	0.0890121	Truth_Sequence_abundance	Kraken2	Skin1	Skin	rJSD
S242	0.0926669	Truth_Sequence_abundance	Kraken2	Skin2	Skin	rJSD
S243	0.141637	Truth_Sequence_abundance	Kraken2	Skin3	Skin	rJSD
S244	0.136118	Truth_Sequence_abundance	Kraken2	Skin4	Skin	rJSD
S245	0.0842514	Truth_Sequence_abundance	Kraken2	Skin5	Skin	rJSD
S246	0.0208329	Truth_Sequence_abundance	Kraken2	Vaginal1	Vaginal	rJSD
S247	0.111371	Truth_Sequence_abundance	Kraken2	Vaginal2	Vaginal	rJSD
S248	0.10365	Truth_Sequence_abundance	Kraken2	Vaginal3	Vaginal	rJSD
S249	0.111022	Truth_Sequence_abundance	Kraken2	Vaginal4	Vaginal	rJSD
S250	0.180588	Truth_Sequence_abundance	Kraken2	Vaginal5	Vaginal	rJSD
S251	0.161193	Truth_Sequence_abundance	mOTUs2	Building1	Building	rJSD
S252	0.165587	Truth_Sequence_abundance	mOTUs2	Building2	Building	rJSD
S253	0.190701	Truth_Sequence_abundance	mOTUs2	Building3	Building	rJSD
S254	0.172134	Truth_Sequence_abundance	mOTUs2	Building4	Building	rJSD
S255	0.128274	Truth_Sequence_abundance	mOTUs2	Building5	Building	rJSD
S256	0.131597	Truth_Sequence_abundance	mOTUs2	Gut1	Gut	rJSD
S257	0.183459	Truth_Sequence_abundance	mOTUs2	Gut2	Gut	rJSD
S258	0.165241	Truth_Sequence_abundance	mOTUs2	Gut3	Gut	rJSD
S259	0.235365	Truth_Sequence_abundance	mOTUs2	Gut4	Gut	rJSD
S260	0.228346	Truth_Sequence_abundance	mOTUs2	Gut5	Gut	rJSD
S261	0.154469	Truth_Sequence_abundance	mOTUs2	Oral1	Oral	rJSD
S262	0.147933	Truth_Sequence_abundance	mOTUs2	Oral2	Oral	rJSD
S263	0.159059	Truth_Sequence_abundance	mOTUs2	Oral3	Oral	rJSD
S264	0.179524	Truth_Sequence_abundance	mOTUs2	Oral4	Oral	rJSD
S265	0.192037	Truth_Sequence_abundance	mOTUs2	Oral5	Oral	rJSD
S266	0.150771	Truth_Sequence_abundance	mOTUs2	Skin1	Skin	rJSD
S267	0.219703	Truth_Sequence_abundance	mOTUs2	Skin2	Skin	rJSD
S268	0.207432	Truth_Sequence_abundance	mOTUs2	Skin3	Skin	rJSD
S269	0.148951	Truth_Sequence_abundance	mOTUs2	Skin4	Skin	rJSD
S270	0.134517	Truth_Sequence_abundance	mOTUs2	Skin5	Skin	rJSD
S271	0.12742	Truth_Sequence_abundance	mOTUs2	Vaginal1	Vaginal	rJSD
S272	0.152703	Truth_Sequence_abundance	mOTUs2	Vaginal2	Vaginal	rJSD
S273	0.169642	Truth_Sequence_abundance	mOTUs2	Vaginal3	Vaginal	rJSD
S274	0.115616	Truth_Sequence_abundance	mOTUs2	Vaginal4	Vaginal	rJSD
S275	0.168965	Truth_Sequence_abundance	mOTUs2	Vaginal5	Vaginal	rJSD
S276	0.185487	Truth_Sequence_abundance	MPA2	Building1	Building	rJSD
S277	0.114648	Truth_Sequence_abundance	MPA2	Building2	Building	rJSD
S278	0.120149	Truth_Sequence_abundance	MPA2	Building3	Building	rJSD
S279	0.118562	Truth_Sequence_abundance	MPA2	Building4	Building	rJSD
S280	0.148321	Truth_Sequence_abundance	MPA2	Building5	Building	rJSD
S281	0.1648	Truth_Sequence_abundance	MPA2	Gut1	Gut	rJSD
S282	0.179732	Truth_Sequence_abundance	MPA2	Gut2	Gut	rJSD
S283	0.188377	Truth_Sequence_abundance	MPA2	Gut3	Gut	rJSD
S284	0.178306	Truth_Sequence_abundance	MPA2	Gut4	Gut	rJSD
S285	0.162511	Truth_Sequence_abundance	MPA2	Gut5	Gut	rJSD
S286	0.153752	Truth_Sequence_abundance	MPA2	Oral1	Oral	rJSD
S287	0.12934	Truth_Sequence_abundance	MPA2	Oral2	Oral	rJSD
S288	0.16123	Truth_Sequence_abundance	MPA2	Oral3	Oral	rJSD
S289	0.126346	Truth_Sequence_abundance	MPA2	Oral4	Oral	rJSD
S290	0.156485	Truth_Sequence_abundance	MPA2	Oral5	Oral	rJSD
S291	0.137188	Truth_Sequence_abundance	MPA2	Skin1	Skin	rJSD
S292	0.194634	Truth_Sequence_abundance	MPA2	Skin2	Skin	rJSD
S293	0.118603	Truth_Sequence_abundance	MPA2	Skin3	Skin	rJSD
S294	0.161753	Truth_Sequence_abundance	MPA2	Skin4	Skin	rJSD
S295	0.103092	Truth_Sequence_abundance	MPA2	Skin5	Skin	rJSD
S296	0.101406	Truth_Sequence_abundance	MPA2	Vaginal1	Vaginal	rJSD
S297	0.141556	Truth_Sequence_abundance	MPA2	Vaginal2	Vaginal	rJSD
S298	0.133996	Truth_Sequence_abundance	MPA2	Vaginal3	Vaginal	rJSD
S299	0.0958091	Truth_Sequence_abundance	MPA2	Vaginal4	Vaginal	rJSD
S300	0.250505	Truth_Sequence_abundance	MPA2	Vaginal5	Vaginal	rJSD
S301	0.1886	Truth_Taxonomic_abundance	Bracken	Building1	Building	rJSD
S302	0.155195	Truth_Taxonomic_abundance	Bracken	Building2	Building	rJSD
S303	0.148397	Truth_Taxonomic_abundance	Bracken	Building3	Building	rJSD
S304	0.132604	Truth_Taxonomic_abundance	Bracken	Building4	Building	rJSD
S305	0.186864	Truth_Taxonomic_abundance	Bracken	Building5	Building	rJSD
S306	0.170051	Truth_Taxonomic_abundance	Bracken	Gut1	Gut	rJSD
S307	0.191478	Truth_Taxonomic_abundance	Bracken	Gut2	Gut	rJSD
S308	0.172152	Truth_Taxonomic_abundance	Bracken	Gut3	Gut	rJSD
S309	0.182473	Truth_Taxonomic_abundance	Bracken	Gut4	Gut	rJSD
S310	0.146443	Truth_Taxonomic_abundance	Bracken	Gut5	Gut	rJSD
S311	0.127138	Truth_Taxonomic_abundance	Bracken	Oral1	Oral	rJSD
S312	0.120522	Truth_Taxonomic_abundance	Bracken	Oral2	Oral	rJSD
S313	0.190126	Truth_Taxonomic_abundance	Bracken	Oral3	Oral	rJSD
S314	0.12877	Truth_Taxonomic_abundance	Bracken	Oral4	Oral	rJSD
S315	0.151001	Truth_Taxonomic_abundance	Bracken	Oral5	Oral	rJSD
S316	0.129157	Truth_Taxonomic_abundance	Bracken	Skin1	Skin	rJSD
S317	0.120227	Truth_Taxonomic_abundance	Bracken	Skin2	Skin	rJSD
S318	0.113712	Truth_Taxonomic_abundance	Bracken	Skin3	Skin	rJSD
S319	0.153203	Truth_Taxonomic_abundance	Bracken	Skin4	Skin	rJSD
S320	0.119392	Truth_Taxonomic_abundance	Bracken	Skin5	Skin	rJSD
S321	0.105078	Truth_Taxonomic_abundance	Bracken	Vaginal1	Vaginal	rJSD
S322	0.162475	Truth_Taxonomic_abundance	Bracken	Vaginal2	Vaginal	rJSD
S323	0.171262	Truth_Taxonomic_abundance	Bracken	Vaginal3	Vaginal	rJSD
S324	0.122018	Truth_Taxonomic_abundance	Bracken	Vaginal4	Vaginal	rJSD
S325	0.201437	Truth_Taxonomic_abundance	Bracken	Vaginal5	Vaginal	rJSD
S326	0.188727	Truth_Taxonomic_abundance	Kraken2	Building1	Building	rJSD
S327	0.156359	Truth_Taxonomic_abundance	Kraken2	Building2	Building	rJSD
S328	0.154194	Truth_Taxonomic_abundance	Kraken2	Building3	Building	rJSD
S329	0.147786	Truth_Taxonomic_abundance	Kraken2	Building4	Building	rJSD
S330	0.192516	Truth_Taxonomic_abundance	Kraken2	Building5	Building	rJSD
S331	0.177226	Truth_Taxonomic_abundance	Kraken2	Gut1	Gut	rJSD
S332	0.191061	Truth_Taxonomic_abundance	Kraken2	Gut2	Gut	rJSD
S333	0.176463	Truth_Taxonomic_abundance	Kraken2	Gut3	Gut	rJSD
S334	0.176935	Truth_Taxonomic_abundance	Kraken2	Gut4	Gut	rJSD
S335	0.1426	Truth_Taxonomic_abundance	Kraken2	Gut5	Gut	rJSD
S336	0.125129	Truth_Taxonomic_abundance	Kraken2	Oral1	Oral	rJSD
S337	0.126155	Truth_Taxonomic_abundance	Kraken2	Oral2	Oral	rJSD
S338	0.193107	Truth_Taxonomic_abundance	Kraken2	Oral3	Oral	rJSD
S339	0.136421	Truth_Taxonomic_abundance	Kraken2	Oral4	Oral	rJSD
S340	0.171413	Truth_Taxonomic_abundance	Kraken2	Oral5	Oral	rJSD
