ID	Index	Abd_type	Method	Env	SampleID
S0221	4.533522665	Taxonomic	Shannon	Gut	sample_21
S0222	4.313001509	Taxonomic	Shannon	Gut	sample_22
S0223	4.288940332	Taxonomic	Shannon	Gut	sample_23
S0224	4.56844284	Taxonomic	Shannon	Gut	sample_24
S0225	4.387810448	Taxonomic	Shannon	Gut	sample_25
S0226	4.282002393	Taxonomic	Shannon	Gut	sample_26
S0227	4.370902979	Taxonomic	Shannon	Gut	sample_27
S0228	4.446256016	Taxonomic	Shannon	Gut	sample_28
S0229	4.223788101	Taxonomic	Shannon	Gut	sample_29
S0230	4.077530977	Taxonomic	Shannon	Gut	sample_30
S0231	4.243367537	Taxonomic	Shannon	Gut	sample_31
S0232	4.410243889	Taxonomic	Shannon	Gut	sample_32
S0233	4.329434322	Taxonomic	Shannon	Gut	sample_33
S0234	4.322419629	Taxonomic	Shannon	Gut	sample_34
S0235	4.17660734	Taxonomic	Shannon	Gut	sample_35
S0236	4.285218843	Taxonomic	Shannon	Gut	sample_36
S0237	4.637488986	Taxonomic	Shannon	Gut	sample_37
S0238	4.225123503	Taxonomic	Shannon	Gut	sample_38
S0239	4.35836397	Taxonomic	Shannon	Gut	sample_39
S0240	4.330853533	Taxonomic	Shannon	Gut	sample_40
S0241	4.39405022	Taxonomic	Shannon	Gut	sample_41
S0242	4.383008455	Taxonomic	Shannon	Gut	sample_42
S0243	4.293239725	Taxonomic	Shannon	Gut	sample_43
S0244	4.177527048	Taxonomic	Shannon	Gut	sample_44
S0245	3.880063686	Taxonomic	Shannon	Gut	sample_45
S0246	4.223965157	Taxonomic	Shannon	Gut	sample_46
S0247	4.420123652	Taxonomic	Shannon	Gut	sample_47
S0248	4.338579592	Taxonomic	Shannon	Gut	sample_48
S0249	4.344742602	Taxonomic	Shannon	Gut	sample_49
S0250	4.514135927	Taxonomic	Shannon	Gut	sample_50
S0251	4.59326518	Taxonomic	Shannon	Gut	sample_51
S0252	4.184858	Taxonomic	Shannon	Gut	sample_52
S0253	4.127524574	Taxonomic	Shannon	Gut	sample_53
S0254	4.591765081	Taxonomic	Shannon	Gut	sample_54
S0255	4.299510902	Taxonomic	Shannon	Gut	sample_55
S0256	4.166656932	Taxonomic	Shannon	Gut	sample_56
S0257	4.422124241	Taxonomic	Shannon	Gut	sample_57
S0258	4.189602896	Taxonomic	Shannon	Gut	sample_58
S0259	4.344247337	Taxonomic	Shannon	Gut	sample_59
S0260	4.353417097	Taxonomic	Shannon	Gut	sample_60
S0261	4.269214316	Taxonomic	Shannon	Gut	sample_61
S0262	4.482189346	Taxonomic	Shannon	Gut	sample_62
S0263	4.505461702	Taxonomic	Shannon	Gut	sample_63
S0264	4.450344221	Taxonomic	Shannon	Gut	sample_64
S0265	4.345864062	Taxonomic	Shannon	Gut	sample_65
S0266	4.299323744	Taxonomic	Shannon	Gut	sample_66
S0267	4.227091415	Taxonomic	Shannon	Gut	sample_67
S0268	4.204577137	Taxonomic	Shannon	Gut	sample_68
S0269	4.175998473	Taxonomic	Shannon	Gut	sample_69
S0270	4.17664194	Taxonomic	Shannon	Gut	sample_70
S0271	4.226144248	Taxonomic	Shannon	Gut	sample_71
S0272	4.253203899	Taxonomic	Shannon	Gut	sample_72
S0273	4.534339723	Taxonomic	Shannon	Gut	sample_73
S0274	4.520712144	Taxonomic	Shannon	Gut	sample_74
S0275	4.48070051	Taxonomic	Shannon	Gut	sample_75
S0276	4.437347256	Taxonomic	Shannon	Gut	sample_76
S0277	4.316677591	Taxonomic	Shannon	Gut	sample_77
S0278	4.364768538	Taxonomic	Shannon	Gut	sample_78
S0279	4.305657832	Taxonomic	Shannon	Gut	sample_79
S0280	4.606401842	Taxonomic	Shannon	Gut	sample_80
S0281	4.284274506	Taxonomic	Shannon	Gut	sample_81
S0282	4.259133424	Taxonomic	Shannon	Gut	sample_82
S0283	4.421990532	Taxonomic	Shannon	Gut	sample_83
S0284	4.187087843	Taxonomic	Shannon	Gut	sample_84
S0285	4.448353067	Taxonomic	Shannon	Gut	sample_85
S0286	4.237590396	Taxonomic	Shannon	Gut	sample_86
S0287	4.157383725	Taxonomic	Shannon	Gut	sample_87
S0288	4.51865645	Taxonomic	Shannon	Gut	sample_88
S0289	4.538375704	Taxonomic	Shannon	Gut	sample_89
S0290	4.023844515	Taxonomic	Shannon	Gut	sample_90
S0291	4.219496463	Taxonomic	Shannon	Gut	sample_91
S0292	4.409277223	Taxonomic	Shannon	Gut	sample_92
S0293	4.204426667	Taxonomic	Shannon	Gut	sample_93
S0294	4.332758065	Taxonomic	Shannon	Gut	sample_94
S0295	4.108985825	Taxonomic	Shannon	Gut	sample_95
S0296	4.599888838	Taxonomic	Shannon	Gut	sample_96
S0297	4.279748996	Taxonomic	Shannon	Gut	sample_97
S0298	4.272490671	Taxonomic	Shannon	Gut	sample_98
S0299	4.413517001	Taxonomic	Shannon	Gut	sample_99
S0300	4.176196191	Taxonomic	Shannon	Gut	sample_100
S0301	4.372746934	Sequence	Shannon	Gut	sample_1
S0302	4.082409846	Sequence	Shannon	Gut	sample_2
S0303	3.590409736	Sequence	Shannon	Gut	sample_3
S0304	4.054579725	Sequence	Shannon	Gut	sample_4
S0305	4.230704171	Sequence	Shannon	Gut	sample_5
S0306	4.055011914	Sequence	Shannon	Gut	sample_6
S0307	4.264588784	Sequence	Shannon	Gut	sample_7
S0308	4.239103008	Sequence	Shannon	Gut	sample_8
S0309	4.487948073	Sequence	Shannon	Gut	sample_9
S0310	4.139402531	Sequence	Shannon	Gut	sample_10
S0311	3.992189742	Sequence	Shannon	Gut	sample_11
S0312	4.428346302	Sequence	Shannon	Gut	sample_12
S0313	3.990092082	Sequence	Shannon	Gut	sample_13
S0314	4.089579889	Sequence	Shannon	Gut	sample_14
S0315	4.425346906	Sequence	Shannon	Gut	sample_15
S0316	4.376229753	Sequence	Shannon	Gut	sample_16
S0317	4.178115753	Sequence	Shannon	Gut	sample_17
S0318	4.102714991	Sequence	Shannon	Gut	sample_18
S0319	3.93354537	Sequence	Shannon	Gut	sample_19
S0320	4.346879463	Sequence	Shannon	Gut	sample_20
S0321	4.453570663	Sequence	Shannon	Gut	sample_21
S0322	4.222004081	Sequence	Shannon	Gut	sample_22
S0323	4.229597535	Sequence	Shannon	Gut	sample_23
S0324	4.524544808	Sequence	Shannon	Gut	sample_24
S0325	4.267492267	Sequence	Shannon	Gut	sample_25
S0326	3.999910062	Sequence	Shannon	Gut	sample_26
S0327	4.309897384	Sequence	Shannon	Gut	sample_27
S0328	4.366955469	Sequence	Shannon	Gut	sample_28
S0329	4.185826022	Sequence	Shannon	Gut	sample_29
S0330	4.1086173	Sequence	Shannon	Gut	sample_30
S0331	4.26528572	Sequence	Shannon	Gut	sample_31
S0332	4.404746117	Sequence	Shannon	Gut	sample_32
S0333	4.178577438	Sequence	Shannon	Gut	sample_33
S0334	4.192496519	Sequence	Shannon	Gut	sample_34
S0335	4.051441537	Sequence	Shannon	Gut	sample_35
S0336	4.262646557	Sequence	Shannon	Gut	sample_36
S0337	4.553099362	Sequence	Shannon	Gut	sample_37
S0338	4.146116298	Sequence	Shannon	Gut	sample_38
S0339	4.292241634	Sequence	Shannon	Gut	sample_39
S0340	4.233901877	Sequence	Shannon	Gut	sample_40
S0341	4.355741075	Sequence	Shannon	Gut	sample_41
S0342	4.304106073	Sequence	Shannon	Gut	sample_42
S0343	4.207924532	Sequence	Shannon	Gut	sample_43
S0344	3.911435583	Sequence	Shannon	Gut	sample_44
S0345	3.952633489	Sequence	Shannon	Gut	sample_45
S0346	4.228908051	Sequence	Shannon	Gut	sample_46
S0347	4.368660579	Sequence	Shannon	Gut	sample_47
S0348	4.223859954	Sequence	Shannon	Gut	sample_48
S0349	4.258100292	Sequence	Shannon	Gut	sample_49
S0350	4.455361423	Sequence	Shannon	Gut	sample_50
S0351	4.539206177	Sequence	Shannon	Gut	sample_51
S0352	4.266122758	Sequence	Shannon	Gut	sample_52
S0353	4.041941246	Sequence	Shannon	Gut	sample_53
S0354	4.597991963	Sequence	Shannon	Gut	sample_54
S0355	4.262257143	Sequence	Shannon	Gut	sample_55
S0356	4.157857171	Sequence	Shannon	Gut	sample_56
S0357	4.33515917	Sequence	Shannon	Gut	sample_57
S0358	4.07009318	Sequence	Shannon	Gut	sample_58
S0359	4.22357424	Sequence	Shannon	Gut	sample_59
S0360	4.353289374	Sequence	Shannon	Gut	sample_60
S0361	4.205409081	Sequence	Shannon	Gut	sample_61
S0362	4.417825722	Sequence	Shannon	Gut	sample_62
S0363	4.418708801	Sequence	Shannon	Gut	sample_63
S0364	4.397427479	Sequence	Shannon	Gut	sample_64
S0365	4.269344344	Sequence	Shannon	Gut	sample_65
S0366	4.250850895	Sequence	Shannon	Gut	sample_66
S0367	4.173931365	Sequence	Shannon	Gut	sample_67
S0368	4.117548102	Sequence	Shannon	Gut	sample_68
S0369	4.123574451	Sequence	Shannon	Gut	sample_69
S0370	4.159923343	Sequence	Shannon	Gut	sample_70
S0371	4.137988569	Sequence	Shannon	Gut	sample_71
S0372	4.259723812	Sequence	Shannon	Gut	sample_72
S0373	4.375431609	Sequence	Shannon	Gut	sample_73
S0374	4.451323524	Sequence	Shannon	Gut	sample_74
S0375	4.453948073	Sequence	Shannon	Gut	sample_75
S0376	4.312328424	Sequence	Shannon	Gut	sample_76
S0377	4.13573018	Sequence	Shannon	Gut	sample_77
S0378	4.338866911	Sequence	Shannon	Gut	sample_78
S0379	4.180117784	Sequence	Shannon	Gut	sample_79
S0380	4.558475044	Sequence	Shannon	Gut	sample_80
S0381	4.205604999	Sequence	Shannon	Gut	sample_81
S0382	4.159221885	Sequence	Shannon	Gut	sample_82
S0383	4.453024242	Sequence	Shannon	Gut	sample_83
S0384	4.138936445	Sequence	Shannon	Gut	sample_84
S0385	4.405722579	Sequence	Shannon	Gut	sample_85
S0386	4.138016961	Sequence	Shannon	Gut	sample_86
S0387	4.075919355	Sequence	Shannon	Gut	sample_87
S0388	4.441385017	Sequence	Shannon	Gut	sample_88
S0389	4.521513826	Sequence	Shannon	Gut	sample_89
S0390	4.019676901	Sequence	Shannon	Gut	sample_90
S0391	4.178553016	Sequence	Shannon	Gut	sample_91
S0392	4.278611404	Sequence	Shannon	Gut	sample_92
S0393	4.161501644	Sequence	Shannon	Gut	sample_93
S0394	4.418723228	Sequence	Shannon	Gut	sample_94
S0395	4.034069113	Sequence	Shannon	Gut	sample_95
S0396	4.496616797	Sequence	Shannon	Gut	sample_96
S0397	4.26289388	Sequence	Shannon	Gut	sample_97
S0398	4.214569082	Sequence	Shannon	Gut	sample_98
S0399	4.327452525	Sequence	Shannon	Gut	sample_99
S0400	4.034802599	Sequence	Shannon	Gut	sample_100
S0401	4.564078323	Taxonomic	Shannon	Oral	sample_1
S0402	4.846262744	Taxonomic	Shannon	Oral	sample_2
S0403	4.617630099	Taxonomic	Shannon	Oral	sample_3
S0404	4.477446101	Taxonomic	Shannon	Oral	sample_4
S0405	4.599406342	Taxonomic	Shannon	Oral	sample_5
S0406	4.703214149	Taxonomic	Shannon	Oral	sample_6
S0407	4.735424044	Taxonomic	Shannon	Oral	sample_7
S0408	4.721233522	Taxonomic	Shannon	Oral	sample_8
S0409	4.643388211	Taxonomic	Shannon	Oral	sample_9
S0410	4.807554913	Taxonomic	Shannon	Oral	sample_10
S0411	4.76153523	Taxonomic	Shannon	Oral	sample_11
S0412	4.759558042	Taxonomic	Shannon	Oral	sample_12
S0413	4.717178449	Taxonomic	Shannon	Oral	sample_13
S0414	4.770460114	Taxonomic	Shannon	Oral	sample_14
S0415	4.770252367	Taxonomic	Shannon	Oral	sample_15
S0416	4.782294167	Taxonomic	Shannon	Oral	sample_16
S0417	4.776826884	Taxonomic	Shannon	Oral	sample_17
S0418	4.324219622	Taxonomic	Shannon	Oral	sample_18
S0419	4.738338266	Taxonomic	Shannon	Oral	sample_19
S0420	4.635990693	Taxonomic	Shannon	Oral	sample_20
S0421	4.524902134	Taxonomic	Shannon	Oral	sample_21
S0422	4.61901585	Taxonomic	Shannon	Oral	sample_22
S0423	4.729957672	Taxonomic	Shannon	Oral	sample_23
S0424	4.657255162	Taxonomic	Shannon	Oral	sample_24
S0425	4.591359691	Taxonomic	Shannon	Oral	sample_25
S0426	4.815073076	Taxonomic	Shannon	Oral	sample_26
S0427	4.716690002	Taxonomic	Shannon	Oral	sample_27
S0428	4.604714052	Taxonomic	Shannon	Oral	sample_28
S0429	4.806574394	Taxonomic	Shannon	Oral	sample_29
S0430	4.677561131	Taxonomic	Shannon	Oral	sample_30
S0431	4.762707989	Taxonomic	Shannon	Oral	sample_31
S0432	4.673526205	Taxonomic	Shannon	Oral	sample_32
S0433	4.905968564	Taxonomic	Shannon	Oral	sample_33
S0434	4.651638189	Taxonomic	Shannon	Oral	sample_34
S0435	4.774044476	Taxonomic	Shannon	Oral	sample_35
S0436	4.59801378	Taxonomic	Shannon	Oral	sample_36
S0437	4.639019706	Taxonomic	Shannon	Oral	sample_37
S0438	4.651563364	Taxonomic	Shannon	Oral	sample_38
S0439	4.732762883	Taxonomic	Shannon	Oral	sample_39
S0440	4.590110116	Taxonomic	Shannon	Oral	sample_40
S0441	4.58266249	Taxonomic	Shannon	Oral	sample_41
S0442	4.78955574	Taxonomic	Shannon	Oral	sample_42
S0443	4.363712487	Taxonomic	Shannon	Oral	sample_43
S0444	4.804618218	Taxonomic	Shannon	Oral	sample_44
S0445	4.723562584	Taxonomic	Shannon	Oral	sample_45
S0446	4.634568331	Taxonomic	Shannon	Oral	sample_46
S0447	4.824764045	Taxonomic	Shannon	Oral	sample_47
S0448	4.748057555	Taxonomic	Shannon	Oral	sample_48
S0449	4.814567012	Taxonomic	Shannon	Oral	sample_49
S0450	4.694557101	Taxonomic	Shannon	Oral	sample_50
S0451	4.726294979	Taxonomic	Shannon	Oral	sample_51
S0452	4.95290531	Taxonomic	Shannon	Oral	sample_52
S0453	4.841745491	Taxonomic	Shannon	Oral	sample_53
S0454	4.51464057	Taxonomic	Shannon	Oral	sample_54
S0455	4.572716012	Taxonomic	Shannon	Oral	sample_55
S0456	4.517066759	Taxonomic	Shannon	Oral	sample_56
S0457	4.575252532	Taxonomic	Shannon	Oral	sample_57
S0458	4.518701127	Taxonomic	Shannon	Oral	sample_58
S0459	4.812419837	Taxonomic	Shannon	Oral	sample_59
S0460	4.759003201	Taxonomic	Shannon	Oral	sample_60
S0461	4.770590274	Taxonomic	Shannon	Oral	sample_61
S0462	4.745985708	Taxonomic	Shannon	Oral	sample_62
S0463	4.702973101	Taxonomic	Shannon	Oral	sample_63
S0464	4.789945388	Taxonomic	Shannon	Oral	sample_64
S0465	4.677390369	Taxonomic	Shannon	Oral	sample_65
S0466	4.615355496	Taxonomic	Shannon	Oral	sample_66
S0467	4.679516628	Taxonomic	Shannon	Oral	sample_67
S0468	4.599896766	Taxonomic	Shannon	Oral	sample_68
S0469	4.611757981	Taxonomic	Shannon	Oral	sample_69
