SampleID	BC	rJSD	L1	L2	rAD
L_150_7	0.16267	0.142252	0.32533988	0.0517012	1.32836535
L_150_8	0.125108	0.111172	0.250216721	0.0327171	1.146860615
L_150_9	0.148568	0.128957	0.297135757	0.0421553	1.325824901
L_150_10	0.118821	0.106333	0.237641451	0.0301057	1.190441457
L_200_1	0.13869	0.125126	0.277380718	0.0383697	1.211675866
L_200_2	0.163595	0.150476	0.327188982	0.0522109	1.320301583
L_200_3	0.147231	0.132259	0.294462518	0.0546476	1.232107031
L_200_4	0.164107	0.14425	0.328213943	0.0514823	1.264125718
L_200_5	0.128879	0.118992	0.25775866	0.0292789	1.240726951
L_200_6	0.141646	0.128524	0.283291299	0.0370251	1.269980947
L_200_7	0.13798	0.120446	0.275959832	0.0370298	1.390268034
L_200_8	0.124037	0.116165	0.248074617	0.0305146	1.25248769
L_200_9	0.168673	0.146764	0.337345375	0.057346	1.289706288
L_200_10	0.13784	0.119713	0.275679771	0.0344231	1.21351144
L_250_1	0.146047	0.129921	0.292093404	0.038343	1.328148636
L_250_2	0.147317	0.126909	0.294634276	0.0345223	1.296507467
L_250_3	0.139259	0.12664	0.278518559	0.0319659	1.285424787
L_250_4	0.156137	0.141014	0.31227291	0.0417329	1.281749381
L_250_5	0.137784	0.120569	0.275568863	0.0296532	1.246051642
L_250_6	0.127063	0.120046	0.25412573	0.0292314	1.25869537
L_250_7	0.126262	0.113325	0.252523067	0.0329776	1.274221458
L_250_8	0.128746	0.120439	0.257492655	0.0312568	1.26461284
L_250_9	0.133852	0.116886	0.267703939	0.0300922	1.304397916
L_250_10	0.142127	0.130908	0.284254494	0.0368048	1.318368311
L_300_1	0.126015	0.115207	0.252030377	0.0263286	1.271215849
L_300_2	0.144254	0.129179	0.288508305	0.0378498	1.277505738
L_300_3	0.140471	0.126129	0.280941516	0.0326172	1.360864075
L_300_4	0.145503	0.127405	0.291006568	0.0353794	1.270134637
L_300_5	0.135511	0.119319	0.271022499	0.029769	1.224194561
L_300_6	0.147529	0.126468	0.295057896	0.0371033	1.254059318
L_300_7	0.143254	0.125294	0.286507234	0.0344203	1.212358812
L_300_8	0.149193	0.134896	0.298386521	0.0368716	1.297614287
L_300_9	0.126226	0.114889	0.25245128	0.0291795	1.273110234
L_300_10	0.140067	0.127646	0.280133395	0.0321653	1.299023338
L_350_1	0.144946	0.131259	0.289891954	0.0365431	1.235870416
L_350_2	0.141353	0.125659	0.282706492	0.0279701	1.287965199
L_350_3	0.14121	0.126827	0.282420143	0.0286307	1.220802792
L_350_4	0.150503	0.130808	0.301005151	0.0294636	1.309291695
L_350_5	0.1337	0.125417	0.267399269	0.0295853	1.304333764
L_350_6	0.1566	0.136925	0.313199584	0.03397	1.324363058
L_350_7	0.151166	0.13874	0.302331744	0.04434	1.303200087
L_350_8	0.125091	0.110415	0.250181891	0.0209918	1.280328578
L_350_9	0.141695	0.12628	0.283389566	0.0319711	1.260350692
L_350_10	0.149391	0.131203	0.298782518	0.0306386	1.308009673
L_400_1	0.144906	0.135833	0.289812086	0.0321772	1.308418216
L_400_2	0.179301	0.149272	0.358602509	0.0782116	1.257302463
L_400_3	0.137247	0.120895	0.274494504	0.0257152	1.364268728
L_400_4	0.153361	0.131163	0.306722231	0.029395	1.304972412
L_400_5	0.139622	0.123434	0.279243089	0.0251562	1.291998689
L_400_6	0.139482	0.125377	0.278964982	0.0259403	1.259288833
L_400_7	0.13938	0.128031	0.278760763	0.0280712	1.319373678
L_400_8	0.153344	0.13511	0.306688158	0.030202	1.357347712
L_400_9	0.134759	0.119891	0.269517773	0.0280334	1.241912125
L_400_10	0.138051	0.122113	0.276102937	0.0254384	1.281938636
L_450_1	0.137768	0.123923	0.275536603	0.0235494	1.312140562
L_450_2	0.153363	0.131538	0.306726156	0.0302867	1.291195509
L_450_3	0.142784	0.134691	0.285568729	0.0370656	1.294408526
L_450_4	0.153944	0.13759	0.307887459	0.0327121	1.295245368
L_450_5	0.132308	0.121084	0.264616853	0.0227608	1.302105112
L_450_6	0.141352	0.123475	0.282703276	0.0297863	1.245019253
L_450_7	0.148139	0.131194	0.296277459	0.0310278	1.342437337
L_450_8	0.144692	0.131332	0.289384007	0.0343325	1.323841427
L_450_9	0.130073	0.116425	0.26014566	0.0258777	1.294743311
L_450_10	0.157538	0.139518	0.315075387	0.0345599	1.3369555
L_500_1	0.156403	0.133944	0.312806192	0.029834	1.322892731
L_500_2	0.136343	0.121743	0.272686215	0.0246403	1.243358999
L_500_3	0.154175	0.134885	0.308350901	0.0346615	1.259828935
L_500_4	0.147328	0.129287	0.294655536	0.0290966	1.20615272
L_500_5	0.157555	0.13736	0.315110928	0.0441563	1.285916547
L_500_6	0.15022	0.132712	0.300440591	0.0255282	1.184284938
L_500_7	0.152473	0.134395	0.30494566	0.0272151	1.317042193
L_500_8	0.152459	0.130174	0.304917658	0.0291064	1.331817691
L_500_9	0.147195	0.131416	0.294390086	0.0243387	1.353707339
L_500_10	0.143518	0.127361	0.287036144	0.0255937	1.265027436
