SampleID	Distance	Species_num	Matrix
L322	0.272686215	500	L1
L323	0.308350901	500	L1
L324	0.294655536	500	L1
L325	0.315110928	500	L1
L326	0.300440591	500	L1
L327	0.30494566	500	L1
L328	0.304917658	500	L1
L329	0.294390086	500	L1
L330	0.287036144	500	L1
L111	0.142397	10	L2
L112	0.117599	10	L2
L113	0.145182	10	L2
L114	0.125517	10	L2
L115	0.0655292	10	L2
L116	0.145968	10	L2
L117	0.0555793	10	L2
L118	0.0641158	10	L2
L119	0.118638	10	L2
L120	0.109587	10	L2
L121	0.0821406	50	L2
L122	0.0546818	50	L2
L123	0.127019	50	L2
L124	0.0788806	50	L2
L125	0.0497299	50	L2
L126	0.0586308	50	L2
L127	0.052957	50	L2
L128	0.0644783	50	L2
L129	0.0594376	50	L2
L130	0.0730399	50	L2
L131	0.0528223	100	L2
L132	0.051136	100	L2
L133	0.0481701	100	L2
L134	0.0655419	100	L2
L135	0.0665763	100	L2
L136	0.0471507	100	L2
L137	0.0432615	100	L2
L138	0.0620907	100	L2
L139	0.0481312	100	L2
L140	0.0508555	100	L2
L141	0.0309924	150	L2
L142	0.0369182	150	L2
L143	0.0477753	150	L2
L144	0.0503919	150	L2
L145	0.042562	150	L2
L146	0.041271	150	L2
L147	0.0517012	150	L2
L148	0.0327171	150	L2
L149	0.0421553	150	L2
L150	0.0301057	150	L2
L151	0.0383697	200	L2
L152	0.0522109	200	L2
L153	0.0546476	200	L2
L154	0.0514823	200	L2
L155	0.0292789	200	L2
L156	0.0370251	200	L2
L157	0.0370298	200	L2
L158	0.0305146	200	L2
L159	0.057346	200	L2
L160	0.0344231	200	L2
L161	0.038343	250	L2
L162	0.0345223	250	L2
L163	0.0319659	250	L2
L164	0.0417329	250	L2
L165	0.0296532	250	L2
L166	0.0292314	250	L2
L167	0.0329776	250	L2
L168	0.0312568	250	L2
L169	0.0300922	250	L2
L170	0.0368048	250	L2
L171	0.0263286	300	L2
L172	0.0378498	300	L2
L173	0.0326172	300	L2
L174	0.0353794	300	L2
L175	0.029769	300	L2
L176	0.0371033	300	L2
L177	0.0344203	300	L2
L178	0.0368716	300	L2
L179	0.0291795	300	L2
L180	0.0321653	300	L2
L181	0.0365431	350	L2
L182	0.0279701	350	L2
L183	0.0286307	350	L2
L184	0.0294636	350	L2
L185	0.0295853	350	L2
L186	0.03397	350	L2
L187	0.04434	350	L2
L188	0.0209918	350	L2
L189	0.0319711	350	L2
L190	0.0306386	350	L2
L191	0.0321772	400	L2
L192	0.0782116	400	L2
L193	0.0257152	400	L2
L194	0.029395	400	L2
L195	0.0251562	400	L2
L196	0.0259403	400	L2
L197	0.0280712	400	L2
L198	0.030202	400	L2
L199	0.0280334	400	L2
L200	0.0254384	400	L2
L201	0.0235494	450	L2
L202	0.0302867	450	L2
L203	0.0370656	450	L2
L204	0.0327121	450	L2
L205	0.0227608	450	L2
L206	0.0297863	450	L2
L207	0.0310278	450	L2
L208	0.0343325	450	L2
L209	0.0258777	450	L2
L210	0.0345599	450	L2
L211	0.029834	500	L2
L212	0.0246403	500	L2
L213	0.0346615	500	L2
L214	0.0290966	500	L2
L215	0.0441563	500	L2
L216	0.0255282	500	L2
L217	0.0272151	500	L2
L218	0.0291064	500	L2
L219	0.0243387	500	L2
L220	0.0255937	500	L2
L331	0.239154978	10	rAD
L332	0.160992107	10	rAD
L333	0.2054251	10	rAD
L334	0.430916308	10	rAD
L335	0.154860346	10	rAD
L336	0.19463666	10	rAD
L337	0.252532285	10	rAD
L338	0.268833999	10	rAD
L339	0.335061441	10	rAD
L340	0.277773376	10	rAD
L341	0.866624291	50	rAD
L342	0.592636562	50	rAD
L343	0.952049406	50	rAD
L344	0.781442091	50	rAD
L345	0.792883009	50	rAD
L346	1.039170706	50	rAD
L347	0.95410243	50	rAD
L348	0.821006068	50	rAD
L349	0.68904684	50	rAD
L350	0.783086945	50	rAD
L351	0.945576447	100	rAD
L352	1.230541704	100	rAD
L353	1.264528666	100	rAD
L354	1.254420664	100	rAD
L355	1.168464872	100	rAD
L356	1.181088168	100	rAD
L357	0.997542111	100	rAD
L358	1.16668478	100	rAD
L359	1.236009997	100	rAD
L360	1.156897638	100	rAD
L361	1.368203209	150	rAD
L362	1.173513216	150	rAD
L363	1.28570024	150	rAD
L364	1.171965209	150	rAD
L365	1.307278892	150	rAD
L366	1.180437813	150	rAD
L367	1.32836535	150	rAD
L368	1.146860615	150	rAD
L369	1.325824901	150	rAD
L370	1.190441457	150	rAD
L371	1.211675866	200	rAD
L372	1.320301583	200	rAD
L373	1.232107031	200	rAD
L374	1.264125718	200	rAD
L375	1.240726951	200	rAD
L376	1.269980947	200	rAD
L377	1.390268034	200	rAD
L378	1.25248769	200	rAD
L379	1.289706288	200	rAD
L380	1.21351144	200	rAD
L381	1.328148636	250	rAD
L382	1.296507467	250	rAD
L383	1.285424787	250	rAD
L384	1.281749381	250	rAD
L385	1.246051642	250	rAD
L386	1.25869537	250	rAD
L387	1.274221458	250	rAD
L388	1.26461284	250	rAD
L389	1.304397916	250	rAD
L390	1.318368311	250	rAD
L391	1.271215849	300	rAD
L392	1.277505738	300	rAD
L393	1.360864075	300	rAD
L394	1.270134637	300	rAD
L395	1.224194561	300	rAD
L396	1.254059318	300	rAD
L397	1.212358812	300	rAD
L398	1.297614287	300	rAD
L399	1.273110234	300	rAD
L400	1.299023338	300	rAD
L401	1.235870416	350	rAD
L402	1.287965199	350	rAD
L403	1.220802792	350	rAD
L404	1.309291695	350	rAD
L405	1.304333764	350	rAD
L406	1.324363058	350	rAD
L407	1.303200087	350	rAD
L408	1.280328578	350	rAD
L409	1.260350692	350	rAD
L410	1.308009673	350	rAD
L411	1.308418216	400	rAD
L412	1.257302463	400	rAD
L413	1.364268728	400	rAD
L414	1.304972412	400	rAD
L415	1.291998689	400	rAD
L416	1.259288833	400	rAD
L417	1.319373678	400	rAD
L418	1.357347712	400	rAD
L419	1.241912125	400	rAD
L420	1.281938636	400	rAD
L421	1.312140562	450	rAD
L422	1.291195509	450	rAD
L423	1.294408526	450	rAD
L424	1.295245368	450	rAD
L425	1.302105112	450	rAD
L426	1.245019253	450	rAD
L427	1.342437337	450	rAD
L428	1.323841427	450	rAD
L429	1.294743311	450	rAD
L430	1.3369555	450	rAD
L431	1.322892731	500	rAD
L432	1.243358999	500	rAD
L433	1.259828935	500	rAD
L434	1.20615272	500	rAD
L435	1.285916547	500	rAD
L436	1.184284938	500	rAD
L437	1.317042193	500	rAD
L438	1.331817691	500	rAD
L439	1.353707339	500	rAD
L440	1.265027436	500	rAD
